timestamp,subcarrier_index,magnitude
0.4974,0,69.857
0.4974,1,1.0
0.4974,2,24.0208
0.4974,3,24.0
0.4974,4,24.0
0.4974,5,24.0208
0.4974,6,24.0208
0.4974,7,23.0868
0.4974,8,23.0868
0.4974,9,22.0907
0.4974,10,23.3452
0.4974,11,23.5372
0.4974,12,22.561
0.4974,13,22.561
0.4974,14,22.8035
0.4974,15,22.561
0.4974,16,22.561
0.4974,17,23.5372
0.4974,18,23.3452
0.4974,19,22.2036
0.4974,20,21.095
0.4974,21,21.095
0.4974,22,20.025
0.4974,23,21.0238
0.4974,24,20.0
0.4974,25,19.0263
0.4974,26,18.2483
0.4974,27,0.0
0.4974,28,0.0
0.4974,29,0.0
0.4974,30,0.0
0.4974,31,0.0
0.4974,32,0.0
0.4974,33,0.0
0.4974,34,0.0
0.4974,35,0.0
0.4974,36,0.0
0.4974,37,0.0
0.4974,38,12.1655
0.4974,39,13.0384
0.4974,40,13.0384
0.4974,41,14.0
0.4974,42,15.0
0.4974,43,15.0333
0.4974,44,16.1245
0.4974,45,16.2788
0.4974,46,16.2788
0.4974,47,17.4642
0.4974,48,18.4391
0.4974,49,18.4391
0.4974,50,18.4391
0.4974,51,18.4391
0.4974,52,18.4391
0.4974,53,19.4165
0.4974,54,18.4391
0.4974,55,19.4165
0.4974,56,20.2237
0.4974,57,21.095
0.4974,58,21.095
0.4974,59,21.095
0.4974,60,22.0907
0.4974,61,24.0
0.4974,62,23.0217
0.4974,63,24.0208
0.5413,0,69.857
0.5413,1,1.0
0.5413,2,24.5967
0.5413,3,25.0599
0.5413,4,23.7065
0.5413,5,23.7065
0.5413,6,24.1661
0.5413,7,22.8473
0.5413,8,22.4722
0.5413,9,21.5407
0.5413,10,22.1359
0.5413,11,22.8035
0.5413,12,22.8035
0.5413,13,22.8035
0.5413,14,23.7697
0.5413,15,22.8035
0.5413,16,22.8035
0.5413,17,22.8035
0.5413,18,23.0868
0.5413,19,23.0868
0.5413,20,22.1359
0.5413,21,21.5407
0.5413,22,20.1246
0.5413,23,20.6155
0.5413,24,20.5913
0.5413,25,19.7231
0.5413,26,19.4165
0.5413,27,0.0
0.5413,28,0.0
0.5413,29,0.0
0.5413,30,0.0
0.5413,31,0.0
0.5413,32,0.0
0.5413,33,0.0
0.5413,34,0.0
0.5413,35,0.0
0.5413,36,0.0
0.5413,37,0.0
0.5413,38,12.6491
0.5413,39,13.0
0.5413,40,13.4164
0.5413,41,14.7648
0.5413,42,15.2643
0.5413,43,15.8114
0.5413,44,15.8114
0.5413,45,16.4012
0.5413,46,17.0294
0.5413,47,18.4391
0.5413,48,19.2094
0.5413,49,19.105
0.5413,50,19.105
0.5413,51,19.105
0.5413,52,19.105
0.5413,53,19.8494
0.5413,54,19.8494
0.5413,55,19.2094
0.5413,56,21.4009
0.5413,57,20.8087
0.5413,58,21.095
0.5413,59,21.095
0.5413,60,21.095
0.5413,61,23.7065
0.5413,62,23.7065
0.5413,63,24.1868
0.5839,0,69.857
0.5839,1,1.0
0.5839,2,25.9615
0.5839,3,25.7099
0.5839,4,25.7099
0.5839,5,25.4951
0.5839,6,25.4951
0.5839,7,25.318
0.5839,8,24.1868
0.5839,9,24.1868
0.5839,10,24.0832
0.5839,11,24.0208
0.5839,12,24.0
0.5839,13,24.0
0.5839,14,25.0
0.5839,15,25.02
0.5839,16,25.0
0.5839,17,25.02
0.5839,18,25.0799
0.5839,19,24.0832
0.5839,20,23.0868
0.5839,21,23.1948
0.5839,22,21.3776
0.5839,23,21.3776
0.5839,24,21.587
0.5839,25,20.8806
0.5839,26,20.6155
0.5839,27,0.0
0.5839,28,0.0
0.5839,29,0.0
0.5839,30,0.0
0.5839,31,0.0
0.5839,32,0.0
0.5839,33,0.0
0.5839,34,0.0
0.5839,35,0.0
0.5839,36,0.0
0.5839,37,0.0
0.5839,38,13.1529
0.5839,39,13.3417
0.5839,40,14.3178
0.5839,41,15.5242
0.5839,42,15.8114
0.5839,43,16.5529
0.5839,44,17.4642
0.5839,45,17.8885
0.5839,46,18.3576
0.5839,47,19.2354
0.5839,48,20.5913
0.5839,49,20.5913
0.5839,50,20.5913
0.5839,51,20.5913
0.5839,52,20.5913
0.5839,53,21.4709
0.5839,54,20.5913
0.5839,55,21.4709
0.5839,56,21.9317
0.5839,57,22.4722
0.5839,58,22.4722
0.5839,59,23.4094
0.5839,60,24.3516
0.5839,61,25.9615
0.5839,62,26.6833
0.5839,63,27.2029
0.5867,0,69.857
0.5867,1,1.0
0.5867,2,23.1948
0.5867,3,23.1948
0.5867,4,22.3607
0.5867,5,22.3607
0.5867,6,22.3607
0.5867,7,21.8403
0.5867,8,21.587
0.5867,9,20.6155
0.5867,10,21.1896
0.5867,11,21.5407
0.5867,12,21.0238
0.5867,13,21.5407
0.5867,14,21.5407
0.5867,15,21.5407
0.5867,16,22.4722
0.5867,17,22.4722
0.5867,18,22.1359
0.5867,19,20.8806
0.5867,20,20.8806
0.5867,21,20.8806
0.5867,22,19.6469
0.5867,23,19.6469
0.5867,24,19.2354
0.5867,25,18.1108
0.5867,26,18.0278
0.5867,27,0.0
0.5867,28,0.0
0.5867,29,0.0
0.5867,30,0.0
0.5867,31,0.0
0.5867,32,0.0
0.5867,33,0.0
0.5867,34,0.0
0.5867,35,0.0
0.5867,36,0.0
0.5867,37,0.0
0.5867,38,11.7047
0.5867,39,12.3693
0.5867,40,12.1655
0.5867,41,13.1529
0.5867,42,14.0357
0.5867,43,14.0
0.5867,44,15.0
0.5867,45,15.0
0.5867,46,16.0312
0.5867,47,16.0312
0.5867,48,18.1108
0.5867,49,18.1108
0.5867,50,18.1108
0.5867,51,18.1108
0.5867,52,18.1108
0.5867,53,18.0278
0.5867,54,18.1108
0.5867,55,18.0278
0.5867,56,19.0
0.5867,57,20.0
0.5867,58,20.025
0.5867,59,21.0238
0.5867,60,21.0238
0.5867,61,22.2036
0.5867,62,23.1948
0.5867,63,23.1948
0.6077,0,69.857
0.6077,1,1.0
0.6077,2,24.4131
0.6077,3,25.2389
0.6077,4,24.4131
0.6077,5,24.4131
0.6077,6,23.8537
0.6077,7,24.1868
0.6077,8,23.3238
0.6077,9,22.8254
0.6077,10,22.3607
0.6077,11,23.7697
0.6077,12,22.8473
0.6077,13,22.8473
0.6077,14,23.4094
0.6077,15,22.8473
0.6077,16,23.7697
0.6077,17,23.2594
0.6077,18,23.2594
0.6077,19,22.8254
0.6077,20,21.4709
0.6077,21,21.095
0.6077,22,20.2485
0.6077,23,20.2485
0.6077,24,20.8087
0.6077,25,19.2094
