model,train_env,test_env,type,accuracy,f1,train_s,infer_ms_per_sample,n_train,n_test
LR (paper),nofoil,nofoil,INTRA,0.9382352941176471,0.9380418087626584,0.01792764663696289,0.0009108992183909698,510,340
LR (paper),nofoil,foil,CROSS,0.9,0.899968848430307,0.01792764663696289,0.0006072661455939798,510,340
LR (paper),nofoil,open,CROSS,1.0,1.0,0.01792764663696289,0.0005504664252786075,510,340
LR (paper),foil,nofoil,CROSS,0.9382352941176471,0.9380418087626584,0.0032911300659179688,0.0006212907678940717,488,340
LR (paper),foil,foil,INTRA,0.9088235294117647,0.9088227406811478,0.0032911300659179688,0.0005883329054888558,488,340
LR (paper),foil,open,CROSS,0.9970588235294118,0.9970587980864886,0.0032911300659179688,0.0005315331851734835,488,340
LR (paper),open,nofoil,CROSS,0.9029411764705882,0.9020181467282619,0.0028154850006103516,0.0005665947409237132,510,340
LR (paper),open,foil,CROSS,0.9088235294117647,0.9081553516499796,0.0028154850006103516,0.0005504664252786075,510,340
LR (paper),open,open,INTRA,0.9852941176470589,0.9852909366212417,0.0028154850006103516,0.0005175085628733915,510,340
SVM linear,nofoil,nofoil,INTRA,0.9352941176470588,0.9351122523335299,0.0047223567962646484,0.002939560834099265,510,340
SVM linear,nofoil,foil,CROSS,0.9,0.8999446060102477,0.0047223567962646484,0.0028007170733283545,510,340
SVM linear,nofoil,open,CROSS,1.0,1.0,0.0047223567962646484,0.002826662624583525,510,340
SVM linear,foil,nofoil,CROSS,0.9382352941176471,0.9380418087626584,0.003814220428466797,0.00333856133853688,488,340
SVM linear,foil,foil,INTRA,0.9,0.8999861572535993,0.003814220428466797,0.0032663345336914062,488,340
SVM linear,foil,open,CROSS,1.0,1.0,0.003814220428466797,0.003159747404210708,488,340
SVM linear,open,nofoil,CROSS,0.9088235294117647,0.9080592119610253,0.0020220279693603516,0.001969758202047909,510,340
SVM linear,open,foil,CROSS,0.9235294117647059,0.9231464737793852,0.0020220279693603516,0.0019283855662626378,510,340
SVM linear,open,open,INTRA,0.9941176470588236,0.994117443510156,0.0020220279693603516,0.0019073486328125,510,340
SVM RBF,nofoil,nofoil,INTRA,0.9382352941176471,0.9380418087626584,0.0029304027557373047,0.004376383388743681,510,340
SVM RBF,nofoil,foil,CROSS,0.9029411764705882,0.9029000181737933,0.0029304027557373047,0.004256472868077895,510,340
SVM RBF,nofoil,open,CROSS,1.0,1.0,0.0029304027557373047,0.0042985467349781715,510,340
SVM RBF,foil,nofoil,CROSS,0.9382352941176471,0.9380418087626584,0.0034732818603515625,0.005419815287870519,488,340
SVM RBF,foil,foil,INTRA,0.9,0.899968848430307,0.0034732818603515625,0.005312526927274816,488,340
SVM RBF,foil,open,CROSS,1.0,1.0,0.0034732818603515625,0.005322344162884881,488,340
SVM RBF,open,nofoil,CROSS,0.9117647058823529,0.9110723626852659,0.0023543834686279297,0.0022404334124396827,510,340
SVM RBF,open,foil,CROSS,0.9323529411764706,0.9320938875815178,0.0023543834686279297,0.002368758706485524,510,340
SVM RBF,open,open,INTRA,0.9941176470588236,0.994117443510156,0.0023543834686279297,0.0023470205419203814,510,340
"MLP (64,32)",nofoil,nofoil,INTRA,0.9411764705882353,0.9410459148286865,0.15930390357971191,0.002616293290082146,510,340
"MLP (64,32)",nofoil,foil,CROSS,0.8676470588235294,0.8670386109445474,0.15930390357971191,0.0019823803621179916,510,340
"MLP (64,32)",nofoil,open,CROSS,1.0,1.0,0.15930390357971191,0.001875793232637293,510,340
"MLP (64,32)",foil,nofoil,CROSS,0.9382352941176471,0.9380418087626584,0.17207551002502441,0.0030005679411046647,488,340
"MLP (64,32)",foil,foil,INTRA,0.9,0.8999446060102477,0.17207551002502441,0.00207213794483858,488,340
"MLP (64,32)",foil,open,CROSS,1.0,1.0,0.17207551002502441,0.00262751298792222,488,340
"MLP (64,32)",open,nofoil,CROSS,0.9088235294117647,0.9080592119610253,0.19103026390075684,0.002530041862936581,510,340
"MLP (64,32)",open,foil,CROSS,0.9323529411764706,0.9320938875815178,0.19103026390075684,0.002004118526683134,510,340
"MLP (64,32)",open,open,INTRA,0.9941176470588236,0.994117443510156,0.19103026390075684,0.0020349726957433366,510,340
RandomForest 200,nofoil,nofoil,INTRA,0.9323529411764706,0.932253900598626,0.5484724044799805,0.20460030611823588,510,340
RandomForest 200,nofoil,foil,CROSS,0.8352941176470589,0.834001743679163,0.5484724044799805,0.23393560858333814,510,340
RandomForest 200,nofoil,open,CROSS,0.9764705882352941,0.9764575543553526,0.5484724044799805,0.2567964441636029,510,340
RandomForest 200,foil,nofoil,CROSS,0.9235294117647059,0.9233596892772924,0.45014142990112305,0.19997849183924057,488,340
RandomForest 200,foil,foil,INTRA,0.8470588235294118,0.8465277777777778,0.45014142990112305,0.19870856228996728,488,340
RandomForest 200,foil,open,CROSS,0.9823529411764705,0.9823504983388702,0.45014142990112305,0.23111736073213465,488,340
RandomForest 200,open,nofoil,CROSS,0.9382352941176471,0.9380804953560371,0.512958288192749,0.19620306351605582,510,340
RandomForest 200,open,foil,CROSS,0.8970588235294118,0.8969509607807481,0.512958288192749,0.19824785344740922,510,340
RandomForest 200,open,open,INTRA,1.0,1.0,0.512958288192749,0.2003985292771283,510,340
GradBoost 200,nofoil,nofoil,INTRA,0.9323529411764706,0.932253900598626,0.17519903182983398,0.002741112428552964,510,340
GradBoost 200,nofoil,foil,CROSS,0.8352941176470589,0.834001743679163,0.17519903182983398,0.002684312708237592,510,340
