pkt0,pkt1,pkt2,pkt3,pkt4,pkt5,pkt6,pkt7,pkt8,pkt9,pkt10,pkt11,pkt12,pkt13,pkt14,pkt15,pkt16,pkt17,pkt18,pkt19,pkt20,pkt21,pkt22,pkt23,pkt24,pkt25,pkt26,pkt27,pkt28,pkt29,pkt30,pkt31,pkt32,pkt33,pkt34,pkt35,pkt36,pkt37,pkt38,pkt39,pkt40,pkt41,pkt42,pkt43,pkt44,pkt45,pkt46,pkt47,pkt48,pkt49,pkt50,pkt51,pkt52,pkt53,pkt54,pkt55,pkt56,pkt57,pkt58,pkt59,label
203,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,208,40,1,0,143,15,0,32,7,0,0,0,170,170,3,0,0,0,8,0,69,32,0,52,0,0,64,0,64,6,182,148,192,168,1,190,standing
204,1,136,73,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,176,40,1,0,141,15,0,32,7,0,0,0,170,170,3,0,0,0,8,0,69,34,0,88,0,0,64,0,64,6,182,110,192,168,1,190,standing
204,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,224,40,1,0,144,15,0,32,7,0,0,0,170,170,3,0,0,0,8,0,69,32,0,52,0,0,64,0,64,6,182,148,192,168,1,190,standing
126,225,254,42,148,166,126,225,254,42,64,163,136,49,224,8,247,8,0,0,100,0,17,0,0,5,108,105,109,51,50,1,8,130,132,139,150,18,36,72,108,3,1,2,50,4,12,24,48,96,7,6,85,83,32,1,11,20,51,8,standing
17,161,181,181,80,136,17,161,181,181,160,15,163,177,186,3,181,24,0,0,100,0,17,12,0,13,50,50,48,51,50,48,50,51,95,80,108,117,115,1,8,130,132,139,150,18,36,72,108,3,1,2,50,4,12,24,48,96,7,6,standing
16,62,253,101,152,57,16,62,253,101,208,192,206,20,140,168,25,1,0,0,100,0,17,21,0,10,76,105,109,39,115,32,104,111,109,101,1,8,130,132,139,150,36,48,72,108,3,1,3,5,4,0,1,1,0,7,6,77,89,32,standing
16,62,253,101,154,113,196,194,199,207,224,192,100,111,0,96,17,0,0,0,111,8,218,186,73,56,180,147,126,81,28,84,109,53,118,76,77,117,178,13,141,169,54,61,80,28,213,211,101,253,221,110,42,20,13,228,170,85,219,24,standing
145,113,102,179,66,86,145,113,102,179,144,98,135,33,40,173,72,13,0,0,100,0,49,20,0,9,72,117,97,119,101,105,45,84,49,1,8,130,132,139,150,12,18,24,36,3,1,1,5,4,0,1,1,0,42,1,0,50,4,48,standing
7,79,112,101,110,87,114,116,1,8,140,18,152,36,176,72,96,108,3,1,1,5,4,1,2,0,0,42,1,0,48,20,1,0,0,15,172,4,1,0,0,15,172,4,1,0,0,15,172,2,12,0,11,5,1,0,98,0,0,59,standing
145,113,102,193,66,86,145,113,102,193,128,100,252,50,40,173,72,13,0,0,100,0,49,20,0,16,72,117,97,119,101,105,45,84,49,95,87,105,45,70,105,53,1,8,130,132,139,150,12,18,24,36,3,1,1,5,4,0,2,1,standing
180,91,246,161,28,97,180,91,246,161,80,76,118,22,114,17,44,4,0,0,100,0,17,28,0,12,84,80,45,76,105,110,107,95,70,54,65,49,1,8,130,132,139,150,18,36,72,108,3,1,1,50,4,12,24,48,96,70,5,243,standing
180,107,246,161,30,97,180,107,246,161,96,76,228,18,114,17,44,4,0,0,100,0,17,12,0,0,1,8,130,132,139,150,18,36,72,108,3,1,1,50,4,12,24,48,96,5,4,0,1,0,0,48,20,1,0,0,15,172,4,1,standing
126,225,254,42,148,166,126,225,254,42,80,163,200,193,225,8,247,8,0,0,100,0,17,0,0,5,108,105,109,51,50,1,8,130,132,139,150,18,36,72,108,3,1,2,50,4,12,24,48,96,7,6,85,83,32,1,11,20,51,8,standing
16,62,253,101,152,57,16,62,253,101,0,193,172,166,141,168,25,1,0,0,100,0,17,21,0,10,76,105,109,39,115,32,104,111,109,101,1,8,130,132,139,150,36,48,72,108,3,1,3,5,4,0,1,0,0,7,6,77,89,32,standing
