timestamp,subcarrier_index,I,Q,magnitude,phase_deg
726.915532,0,0,0,0.0,0.0
726.915532,1,-17,3,17.263,169.992
726.915532,2,-19,4,19.416,168.111
726.915532,3,-19,3,19.235,171.027
726.915532,4,-18,2,18.111,173.66
726.915532,5,-16,2,16.125,172.875
726.915532,6,-13,1,13.038,175.601
726.915532,7,-11,-1,11.045,-174.806
726.915532,8,-8,0,8.0,180.0
726.915532,9,-4,1,4.123,165.964
726.915532,10,-1,2,2.236,116.565
726.915532,11,-1,2,2.236,116.565
726.915532,12,0,2,2.0,90.0
726.915532,13,2,4,4.472,63.435
726.915532,14,4,6,7.211,56.31
726.915532,15,5,8,9.434,57.995
726.915532,16,4,9,9.849,66.038
726.915532,17,3,9,9.487,71.565
726.915532,18,1,10,10.05,84.289
726.915532,19,0,11,11.0,90.0
726.915532,20,-1,11,11.045,95.194
726.915532,21,-2,9,9.22,102.529
726.915532,22,-3,6,6.708,116.565
726.915532,23,-3,6,6.708,116.565
726.915532,24,-3,5,5.831,120.964
726.915532,25,-4,1,4.123,165.964
726.915532,26,-4,0,4.0,180.0
726.915532,27,0,0,0.0,0.0
726.915532,28,0,0,0.0,0.0
726.915532,29,0,0,0.0,0.0
726.915532,30,0,0,0.0,0.0
726.915532,31,0,0,0.0,0.0
726.915532,32,0,0,0.0,0.0
726.915532,33,0,0,0.0,0.0
726.915532,34,0,0,0.0,0.0
726.915532,35,0,0,0.0,0.0
726.915532,36,0,0,0.0,0.0
726.915532,37,0,0,0.0,0.0
726.915532,38,4,-5,6.403,-51.34
726.915532,39,4,-5,6.403,-51.34
726.915532,40,4,-5,6.403,-51.34
726.915532,41,3,-5,5.831,-59.036
726.915532,42,3,-6,6.708,-63.435
726.915532,43,1,-8,8.062,-82.875
726.915532,44,0,-10,10.0,-90.0
726.915532,45,1,-13,13.038,-85.601
726.915532,46,2,-15,15.133,-82.405
726.915532,47,2,-15,15.133,-82.405
726.915532,48,2,-14,14.142,-81.87
726.915532,49,3,-14,14.318,-77.905
726.915532,50,3,-14,14.318,-77.905
726.915532,51,4,-14,14.56,-74.055
726.915532,52,3,-14,14.318,-77.905
726.915532,53,2,-13,13.153,-81.254
726.915532,54,0,-12,12.0,-90.0
726.915532,55,-1,-10,10.05,-95.711
726.915532,56,-1,-9,9.055,-96.34
726.915532,57,-3,-7,7.616,-113.199
726.915532,58,-5,-4,6.403,-141.34
726.915532,59,-6,-1,6.083,-170.538
726.915532,60,-8,2,8.246,165.964
726.915532,61,-10,2,10.198,168.69
726.915532,62,-13,3,13.342,167.005
726.915532,63,-14,4,14.56,164.055
727.265852,0,0,0,0.0,0.0
727.265852,1,-2,4,4.472,116.565
727.265852,2,-2,5,5.385,111.801
727.265852,3,-1,6,6.083,99.462
727.265852,4,0,7,7.0,90.0
727.265852,5,0,9,9.0,90.0
727.265852,6,-1,9,9.055,96.34
727.265852,7,0,9,9.0,90.0
727.265852,8,2,9,9.22,77.471
727.265852,9,1,11,11.045,84.806
727.265852,10,2,12,12.166,80.538
727.265852,11,3,12,12.369,75.964
727.265852,12,4,12,12.649,71.565
727.265852,13,6,13,14.318,65.225
727.265852,14,7,13,14.765,61.699
727.265852,15,8,14,16.125,60.255
727.265852,16,9,14,16.643,57.265
727.265852,17,9,15,17.493,59.036
727.265852,18,10,16,18.868,57.995
727.265852,19,10,18,20.591,60.945
727.265852,20,10,18,20.591,60.945
727.265852,21,9,18,20.125,63.435
727.265852,22,6,18,18.974,71.565
727.265852,23,3,17,17.263,79.992
727.265852,24,2,17,17.117,83.29
727.265852,25,1,16,16.031,86.424
727.265852,26,2,15,15.133,82.405
727.265852,27,0,0,0.0,0.0
727.265852,28,0,0,0.0,0.0
727.265852,29,0,0,0.0,0.0
727.265852,30,0,0,0.0,0.0
727.265852,31,0,0,0.0,0.0
727.265852,32,0,0,0.0,0.0
727.265852,33,0,0,0.0,0.0
727.265852,34,0,0,0.0,0.0
727.265852,35,0,0,0.0,0.0
727.265852,36,0,0,0.0,0.0
727.265852,37,0,0,0.0,0.0
727.265852,38,5,-11,12.083,-65.556
727.265852,39,4,-10,10.77,-68.199
727.265852,40,3,-9,9.487,-71.565
727.265852,41,2,-8,8.246,-75.964
727.265852,42,3,-9,9.487,-71.565
727.265852,43,3,-11,11.402,-74.745
727.265852,44,3,-10,10.44,-73.301
727.265852,45,3,-9,9.487,-71.565
727.265852,46,3,-9,9.487,-71.565
727.265852,47,2,-9,9.22,-77.471
727.265852,48,1,-9,9.055,-83.66
727.265852,49,1,-8,8.062,-82.875
727.265852,50,1,-7,7.071,-81.87
727.265852,51,0,-5,5.0,-90.0
727.265852,52,0,-4,4.0,-90.0
727.265852,53,-1,-3,3.162,-108.435
