packet_id,timestamp,rx_id,activity,rssi,amplitude_0,amplitude_1,amplitude_2,amplitude_3,amplitude_4,amplitude_5,amplitude_6,amplitude_7,amplitude_8,amplitude_9,amplitude_10,amplitude_11,amplitude_12,amplitude_13,amplitude_14,amplitude_15,amplitude_16,amplitude_17,amplitude_18,amplitude_19,amplitude_20,amplitude_21,amplitude_22,amplitude_23,amplitude_24,amplitude_25,amplitude_26,amplitude_27,amplitude_28,amplitude_29,amplitude_30,amplitude_31,amplitude_32,amplitude_33,amplitude_34,amplitude_35,amplitude_36,amplitude_37,amplitude_38,amplitude_39,amplitude_40,amplitude_41,amplitude_42,amplitude_43,amplitude_44,amplitude_45,amplitude_46,amplitude_47,amplitude_48,amplitude_49,amplitude_50,amplitude_51,amplitude_52,amplitude_53,amplitude_54,amplitude_55,amplitude_56,amplitude_57,amplitude_58,amplitude_59,amplitude_60,amplitude_61,amplitude_62,amplitude_63,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_16,phase_17,phase_18,phase_19,phase_20,phase_21,phase_22,phase_23,phase_24,phase_25,phase_26,phase_27,phase_28,phase_29,phase_30,phase_31,phase_32,phase_33,phase_34,phase_35,phase_36,phase_37,phase_38,phase_39,phase_40,phase_41,phase_42,phase_43,phase_44,phase_45,phase_46,phase_47,phase_48,phase_49,phase_50,phase_51,phase_52,phase_53,phase_54,phase_55,phase_56,phase_57,phase_58,phase_59,phase_60,phase_61,phase_62,phase_63
0,1760879462.867342,COMBINED,Walking,75.0,0.0,1.1948886,5.2133,3.8332238,0.6887633,7.7935843,2.2392344,5.567265,3.7968438,0.8936994,2.1291814,4.563374,5.3044267,1.9468719,2.5604107,0.0,3.291637,3.782454,5.186508,5.070207,5.055393,6.605738,5.6097827,7.0079317,6.960061,3.7923753,4.0154767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.094312,5.665637,8.829122,6.935074,9.062775,10.125089,10.668265,11.795357,11.2326765,4.609902,3.9719312,0.5012952,3.0,7.0503855,7.803053,4.531317,7.8177404,10.19021,5.0937037,4.347993,4.1619506,2.3794622,4.801903,9.625879,9.982661,5.70053,0.0,-1.3070216,-0.7697388,-0.3800423,-1.9094971,-2.4814277,-1.0767103,0.20672955,0.176935,-0.46446225,1.6744708,-0.7197818,-0.28537974,-0.13068846,1.3212324,0.0,1.9468371,-3.1164293,-2.3568058,-2.9430604,-1.4920957,-1.766457,-1.3553221,-0.44237423,-0.8405916,-0.32112864,-0.15566874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7340363,-1.7356757,-2.00936,-2.421456,-1.8509923,-1.5913963,-1.515748,-1.4087605,-1.3917899,-0.21454945,0.87138003,-0.041428495,-1.5707964,-1.6751127,-1.9654244,-1.5753968,-1.8501304,-1.9656199,-1.8531184,-1.7390486,-2.2459183,1.5592047,-2.3408341,-2.0073202,-1.297634,-1.215405
1,1760879463.2330184,COMBINED,Walking,81.5,0.0,1.9302409,1.7836993,4.3851266,5.0,7.1612535,8.031332,7.1625533,7.625747,11.392907,12.979918,4.592992,8.090304,3.7643483,11.049067,3.8923368,5.051597,6.1178145,8.20365,5.666667,5.089793,7.126001,2.7844963,9.1681595,8.392095,6.370765,4.9998193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.947964,16.653975,17.921339,19.548754,19.698603,19.138334,17.077776,14.905397,15.968159,12.078268,11.053189,11.082977,13.066316,10.074864,9.522895,10.018951,12.079499,11.043913,15.374728,14.992309,14.691762,14.2271595,9.0949745,9.658044,6.652693,9.929608,0.0,2.534918,-1.4182134,-2.296646,3.1415925,-2.5809805,-2.6802528,-2.493577,-2.1738217,-2.468215,-2.98237,-2.7193224,-2.6668272,-1.3900399,-1.5830414,-2.0415971,-1.034798,-1.0194063,-0.30646768,0.0,-0.22135276,-0.4817071,-0.238571,-0.44610438,0.021643031,-0.20009981,0.2763353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4342299,2.5442164,2.5637403,2.7806585,2.8034935,2.7644188,2.8897154,2.8755066,3.0803373,2.7309778,2.5857604,2.2985682,1.5759131,1.9481663,1.5289931,1.5092789,1.1847633,1.105029,0.89459705,0.81650394,0.80833405,0.8838231,0.9912829,1.1939652,1.0883456,1.5556827
2,1760879463.5351336,COMBINED,Walking,87.0,0.0,5.022657,9.322486,8.015824,4.035493,8.515204,10.0083475,12.21879,8.893668,8.014346,14.058488,8.736101,6.081737,3.9905438,7.7048287,7.9056945,4.7428446,10.29776,9.407885,8.020816,7.315243,6.7178884,8.343918,7.149405,10.126515,4.554305,6.5840263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7716985,5.8399777,4.3055167,6.3529134,8.94796,7.4343157,12.962686,7.055435,7.3654203,9.651557,6.98736,7.806402,5.2071195,6.492289,12.015396,10.133769,8.654129,6.464076,10.842448,10.380765,9.739632,10.355972,7.2152205,8.605766,7.297694,10.302829,0.0,-0.9773088,-0.97491664,-1.2758107,-0.49352765,-0.82584983,-0.9077069,-0.94705385,-1.4642292,-1.2039391,-1.8864287,-1.6199028,-1.9560074,-1.5083505,-0.42782426,-0.9652517,-1.4391073,-0.7342082,-1.103564,-1.4314848,-1.3387842,-1.4778693,-1.752096,-0.86409885,-1.7386045,-1.2934121,-1.4342391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2627436,-1.5985873,-1.4851724,-1.4064094,-1.6027814,-1.2321162,-0.96007293,-0.58421415,-1.6899402,-1.4424453,-1.3044108,-1.3541658,-1.3707732,-1.1896248,-1.4850743,-1.4100145,-0.9414033,-1.1249429,-1.2255169,-0.842865,-1.0041612,-0.84794194,-1.1957306,-0.60689455,-0.37174422,-1.2357244
3,1760879463.577795,COMBINED,Walking,88.0,0.0,8.406325,12.623433,11.701446,9.901008,9.661589,12.320909,14.044472,12.976577,12.532307,10.624707,0.8406378,8.878731,10.909678,5.9525766,8.565952,3.949819,4.9362664,1.4213785,0.7420895,1.9353157,1.8756086,10.293966,5.0342455,3.2139244,7.8315353,7.214426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.673712,20.454893,16.617523,10.137605,15.448109,10.09019,12.374645,16.045809,11.24858,8.765814,4.6215186,17.723244,6.310238,7.6236024,6.849299,10.924521,3.5950353,6.7287307,7.7235355,7.062272,9.188967,11.080894,9.948394,8.901152,9.67166,12.095782,0.0,-2.280781,-2.306892,-2.3125112,-2.427673,-2.347975,-2.452072,-2.3872855,-2.1645164,-2.5697622,1.1394316,1.2767444,-2.5634332,-2.4861896,2.709337,-2.5689218,-2.7358634,-2.587223,-0.84296405,2.5290194,2.757396,2.710223,1.0548502,1.5899265,2.1984353,1.0914264,1.0838478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3689419,-0.7719024,-0.26047942,-0.6294859,-0.5728605,-0.07077716,-0.18641227,-0.19900437,-0.41953295,-0.5317241,-1.0461805,-0.2759201,-0.43478677,-0.5212488,-1.3639586,-2.3863328,-1.528808,-1.7548518,-1.9231421,-1.6370683,-2.2077708,-1.8183612,-2.0173814,-1.9741751,-2.2454343,-2.152109
4,1760879463.624616,COMBINED,Walking,88.5,0.0,14.270784,11.217818,7.0746837,12.472368,10.1055565,14.283392,16.732998,16.001291,12.09908,7.098341,7.4656477,13.429298,12.430243,10.636023,12.065792,12.759152,10.878088,12.558222,12.676085,11.083948,8.964638,13.929114,11.52207,9.418183,7.8935127,11.2893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.02113,12.727854,13.153486,8.280979,10.4566765,14.11255,17.13122,6.217945,11.699412,14.409276,12.38175,5.2141175,12.166565,3.847799,1.8837795,8.998444,3.8315604,3.532928,3.6841342,8.840111,7.3632073,6.3804717,2.9162605,13.748927,13.269893,13.600689,0.0,-0.22583672,0.038204685,-0.8046497,-0.27609703,-0.40539578,-0.50680655,-0.3525554,-0.123909794,-0.4002407,-2.2142038,-0.7338509,-0.70696974,-0.88379306,-0.57290924,-1.1219552,-0.6776974,-0.96281654,-1.0038054,-0.87443155,-0.8454335,-0.70197743,-0.92219305,-1.0683253,-1.0756216,-1.3910476,-0.63054687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.754333,2.5008097,2.8108757,2.464152,2.829745,2.5007486,2.2985556,2.7499304,2.825783,2.510308,2.5670695,2.3390992,2.7501516,1.8788491,1.885308,2.5429983,2.0940216,-0.2538712,2.626194,0.04937408,0.26800305,1.2487432,1.0435266,-0.23051871,-0.13292615,-0.29327744
5,1760879463.786407,COMBINED,Walking,72.5,0.0,5.5281177,6.179871,7.148532,5.940172,8.984723,10.517645,11.248024,11.442273,11.26422,11.818442,9.122886,9.089107,8.280085,8.683669,7.5674963,6.5307975,6.1061788,5.4066863,4.984731,7.037001,8.210647,9.661638,6.401118,9.469704,11.146738,10.204978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0990195,4.6981816,4.740666,3.6867187,6.0422983,5.3198924,4.730549,4.323785,5.07786,1.5988551,3.84454,1.7814468,1.0178441,2.5104403,3.073173,3.535534,6.2075367,7.2152243,10.770611,9.13653,11.454424,10.727796,11.229725,9.784116,7.945755,6.0928802,0.0,3.0750272,-3.104139,3.0762277,2.8846037,3.0229924,-3.1175818,3.035321,-3.1363347,-3.0985107,2.968807,-3.0828369,-3.1173642,-3.0382814,3.0443294,3.1357121,2.5439394,2.5152967,2.3279662,2.294654,2.0447347,1.9401968,1.77947,2.3032968,2.026218,2.0298216,2.118146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9441972,-2.589432,-2.2559893,-2.2915921,-1.7370613,-2.0577943,-1.5642307,-1.4881569,-0.97911865,0.4066303,-0.95563847,-1.7183149,3.0348418,3.0903451,2.4998848,2.9996955,-2.9304326,-2.6374695,-2.3511066,-2.616071,-2.2930288,-2.2149763,-2.194578,-2.123479,-2.2823403,-2.6831493
6,1760879464.0560522,COMBINED,Walking,77.5,0.0,2.5604107,9.001764,9.070928,9.816395,11.999954,10.339322,9.454451,9.9613695,8.605743,9.2483835,10.491396,10.57745,12.3941965,11.395942,12.22769,12.738819,11.913492,13.227735,14.74379,14.8930645,15.989628,15.939253,17.222826,16.90697,17.248478,16.920485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9238625,7.403662,7.523249,6.808968,6.733955,6.989114,6.56925,7.130968,7.05465,8.143684,9.040725,8.252082,6.988748,7.69818,9.113903,5.150081,5.3204885,5.433425,5.5451736,3.4987388,4.824217,5.2346444,4.709386,2.5298765,2.1864393,3.2306232,0.0,-1.3212324,-2.7178912,-2.6937308,-3.047298,-2.9102874,3.0277584,-2.982087,2.9593449,2.837043,2.8008304,2.383912,2.105228,2.1542554,2.050194,2.234634,2.3119924,2.5314581,2.4757729,2.7197328,2.6450691,2.8556268,3.0657244,-3.1286283,-3.0824108,-2.9943295,-2.8102283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9955071,-1.745212,-1.7936597,-2.1832943,-2.0068858,-1.9576412,-2.308791,-2.6908982,-2.7483506,-2.749126,-3.0466409,-3.038424,3.1095736,3.0030081,2.959646,2.6188025,2.3985417,1.746589,1.2614468,1.6560614,0.7794109,0.78914756,0.18794668,0.53670466,-1.7969748,-1.133181
7,1760879464.6013284,COMBINED,Walking,74.5,0.0,5.1145077,3.0838106,5.623639,5.745324,6.3159394,4.452249,3.238992,2.6280503,3.0098517,8.314582,3.6494906,1.8030617,2.0470052,2.5109406,3.8493452,3.1688232,5.648966,8.014706,6.651457,7.807057,10.610839,8.132384,5.9606776,5.976392,4.0667233,3.3332486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.881241,8.449577,8.972418,13.6974125,14.399061,12.705248,15.15968,14.169245,10.700458,9.751544,8.39312,4.286625,6.1172323,5.2712746,6.0269947,6.419863,6.922681,7.811956,9.858286,11.096229,12.213473,13.4030695,13.251168,10.470954,9.851269,9.229291,0.0,-1.5678276,-1.4399853,-0.999132,-0.6557504,-0.35110107,-0.5173303,-0.07618998,-0.26585582,0.34579825,0.06717035,0.8954592,0.99302053,0.32650435,0.8742037,0.047105476,-0.07997352,-0.7560487,-0.5768402,-0.53254324,-0.6803582,-0.6924385,-0.47939065,-0.5141535,-0.24951717,-0.38062823,-0.22573379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8306637,-2.7787366,-2.6101077,-2.309038,-2.1748986,-2.0514286,-1.9527308,-1.8386105,-1.7163837,-1.6587842,-1.6902252,-1.7153987,-1.6507361,-1.8208895,-1.6312481,-1.9805015,-2.4540935,-2.544792,-2.5157423,-2.5702949,-2.4082582,-2.467261,-2.4200263,-2.035911,-1.8667607,-1.814877
8,1760879464.6232996,COMBINED,Walking,72.5,0.0,10.722254,15.8436365,8.200942,9.902682,7.9113374,6.1165013,5.3188467,4.3067865,7.5779424,5.9235687,5.921572,5.101249,6.5645533,5.4469314,5.9235687,10.147323,9.1059265,5.6790094,12.522217,10.517809,11.057163,14.79183,15.8900795,12.0,14.120403,13.784848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1471972,5.236905,7.4295816,9.715252,10.409782,10.432594,10.415024,10.774071,11.958804,11.065437,10.810464,7.9791408,8.949658,9.250215,9.737406,10.354002,8.501758,8.741338,11.107181,12.714741,12.363657,12.743623,12.5086,14.787528,5.079201,12.018469,0.0,-2.754902,-2.5488107,-3.1175034,2.9933975,2.9923086,2.6624951,2.4422798,2.5493567,2.3985045,1.959472,2.6200385,2.6005182,2.7106278,2.3983216,2.752917,2.7763803,3.012258,2.8175344,3.1397653,2.931468,-3.012924,3.133734,-3.0362818,3.1415925,-3.020782,-2.6657908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.842363,2.719923,3.0163085,3.0865242,-3.083154,-2.977115,-2.7537768,-2.8292935,-2.738429,-2.5206723,-2.5916665,-2.6409774,-2.4689097,-2.7589881,-2.800421,-2.8838968,-2.9377182,-2.9262538,2.993037,2.8047004,2.9403832,2.9347322,2.7931564,3.0093257,-1.9212784,-2.9207406
9,1760879465.1363,COMBINED,Walking,75.5,0.0,15.297664,17.214207,16.053583,16.113443,15.428074,15.40881,14.42261,15.014844,13.143593,16.320223,9.338849,9.57252,10.512631,10.279044,11.703785,10.312169,10.481757,9.359882,12.296363,8.295696,8.144451,7.5823627,6.9158335,2.1814127,3.0,4.8655353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.756164,12.790745,13.264635,13.770343,12.84483,11.44302,9.324488,8.85718,7.8946557,9.2360735,11.860469,12.601516,14.545732,15.714571,17.344925,17.928476,19.173317,18.840683,20.780216,19.827944,19.02813,16.719576,16.370201,15.970477,15.817701,17.572649,0.0,2.5808074,2.5976942,2.4606726,2.5039663,2.4530866,2.5119762,2.4259481,2.6988165,2.6083596,2.2965202,2.4797194,2.3079505,2.5121374,2.40336,2.3889916,2.54053,2.5735226,2.8153176,2.7143226,2.761877,3.0430717,2.692328,-3.1021605,-2.8020773,1.5707964,0.8203212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.897914,-2.7788312,-2.7054925,-2.6010463,-2.47369,-2.3825176,-2.5418572,-2.6364508,-2.8487167,-3.0814824,2.9929245,3.0024328,3.043976,3.0845237,3.0531614,3.027156,3.1062546,3.0778952,-3.1061935,-3.1362503,3.1245182,3.0405457,2.9806275,2.9274154,2.818647,2.8530734
