packet_id,timestamp,rx_id,activity,rssi,amplitude_0,amplitude_1,amplitude_2,amplitude_3,amplitude_4,amplitude_5,amplitude_6,amplitude_7,amplitude_8,amplitude_9,amplitude_10,amplitude_11,amplitude_12,amplitude_13,amplitude_14,amplitude_15,amplitude_16,amplitude_17,amplitude_18,amplitude_19,amplitude_20,amplitude_21,amplitude_22,amplitude_23,amplitude_24,amplitude_25,amplitude_26,amplitude_27,amplitude_28,amplitude_29,amplitude_30,amplitude_31,amplitude_32,amplitude_33,amplitude_34,amplitude_35,amplitude_36,amplitude_37,amplitude_38,amplitude_39,amplitude_40,amplitude_41,amplitude_42,amplitude_43,amplitude_44,amplitude_45,amplitude_46,amplitude_47,amplitude_48,amplitude_49,amplitude_50,amplitude_51,amplitude_52,amplitude_53,amplitude_54,amplitude_55,amplitude_56,amplitude_57,amplitude_58,amplitude_59,amplitude_60,amplitude_61,amplitude_62,amplitude_63,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_16,phase_17,phase_18,phase_19,phase_20,phase_21,phase_22,phase_23,phase_24,phase_25,phase_26,phase_27,phase_28,phase_29,phase_30,phase_31,phase_32,phase_33,phase_34,phase_35,phase_36,phase_37,phase_38,phase_39,phase_40,phase_41,phase_42,phase_43,phase_44,phase_45,phase_46,phase_47,phase_48,phase_49,phase_50,phase_51,phase_52,phase_53,phase_54,phase_55,phase_56,phase_57,phase_58,phase_59,phase_60,phase_61,phase_62,phase_63
1,1760879462.779755,RX2,Walking,84,0.0,17.20465,19.416489,20.248457,15.264338,7.2111025,14.56022,19.313208,15.811388,11.401754,10.816654,12.083046,13.341663,12.369316,11.045361,11.704699,11.18034,9.486833,11.401754,7.071068,11.661903,9.219544,7.8102493,10.198039,8.485281,4.472136,5.3851647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28011,5.0990195,3.6055512,9.486833,4.1231055,3.1622777,3.1622777,1.4142135,2.828427,12.206555,15.297058,12.0,8.0,4.0,4.2426405,9.219544,6.3245554,5.0990195,12.7279215,13.60147,13.892444,21.470911,15.264338,10.29563,18.439089,16.492422,0.0,0.6202495,0.20749623,0.3529904,0.551655,0.5880026,0.27829966,0.37089127,0.32175055,0.26625204,0.5880026,-0.4266275,-0.22679885,-0.24497867,0.09065989,-0.348771,0.1798535,-0.32175055,-0.90975314,-0.14189705,-0.5404195,-0.86217004,-0.69473827,-0.19739556,-0.7853982,-0.4636476,-0.38050637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2924967,0.19739556,-2.55359,2.819842,2.896614,-1.8925469,-0.32175055,0.7853982,-0.7853982,0.9600704,1.3734008,1.5707964,1.5707964,1.5707964,2.3561945,0.7086263,0.32175055,0.19739556,0.7853982,0.6287963,1.0427219,1.0863184,1.0191413,0.5070985,-0.21866895,0.24497867
2,1760879462.9510798,RX2,Walking,72,0.0,3.1622777,6.0827622,8.944272,8.602325,11.313708,12.7279215,12.806249,11.401754,12.806249,11.661903,9.433981,8.944272,5.3851647,4.1231055,3.1622777,2.236068,2.0,3.0,4.1231055,6.3245554,6.0827622,8.0,7.28011,6.4031243,4.2426405,6.3245554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.540659,24.351591,26.683327,27.294687,28.071337,28.01785,26.019222,24.08319,21.095024,16.03122,11.045361,8.246211,5.8309517,6.0827622,9.848858,11.661903,15.0,15.556349,19.849434,19.104973,18.439089,17.804493,14.422205,11.401754,9.433981,5.8309517,0.0,-1.8925469,-1.735945,-2.0344439,-2.1910458,-2.3561945,-2.3561945,-2.4668517,-2.4805496,-2.4668517,-2.6011732,-2.5829933,-2.6779451,-2.7610862,-2.896614,-2.819842,2.6779451,1.5707964,1.5707964,1.3258177,1.2490457,1.4056476,1.5707964,1.849096,2.2455373,2.3561945,2.819842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7610862,2.806856,2.9147937,2.9945142,3.070285,3.1058936,-3.1031501,-3.0584514,-3.0466409,-3.0791738,3.050933,2.896614,2.1112158,1.4056476,1.152572,1.0303768,0.9272952,0.7853982,0.7140907,0.74837804,0.7086263,0.66596925,0.5880026,0.66104317,0.5585993,0.5404195
3,1760879463.492449,RX2,Walking,83,0.0,10.770329,16.0,17.088007,11.18034,14.035668,15.524176,13.152946,12.369316,12.369316,16.155495,14.86607,10.0,10.0,11.313708,11.18034,11.661903,13.038404,16.643316,13.892444,11.661903,17.492855,18.384775,16.492422,16.763054,14.56022,20.615528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.071068,7.071068,6.0827622,8.0,11.18034,8.0,10.0,10.440307,9.219544,11.704699,8.062258,14.0,12.999999,10.198039,15.132746,13.038405,12.041595,13.0,15.132746,12.0,14.142136,13.038405,12.0,13.038405,12.1655245,15.0,0.0,-1.9513026,-1.5707964,-1.929567,-1.7506498,-1.6421038,-1.8313987,-1.418147,-1.815775,-1.815775,-1.9513026,-1.9138203,-2.2142975,-2.2142975,-2.3561945,-1.7506498,-2.1112158,-2.1375256,-2.1421337,-2.0988708,-2.1112158,-2.1112158,-1.9614034,-1.815775,-1.8736812,-1.849096,-1.815775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4288993,-1.4288993,-1.735945,-1.5707964,-1.7506498,-1.5707964,-1.5707964,-1.8622531,-1.7894653,-1.9195673,-1.4464413,-1.5707964,-1.9655875,-1.7681919,-1.7033478,-1.6475682,-1.487655,-1.5707964,-1.7033478,-1.5707964,-1.7126933,-1.6475682,-1.5707964,-1.4940244,-1.735945,-1.5707964
4,1760879463.515716,RX2,Walking,85,0.0,12.041595,16.27882,16.970562,16.27882,14.21267,14.21267,17.029387,17.029387,14.422205,11.0,9.219544,13.892444,12.806249,14.764824,15.264338,13.892444,14.764824,12.206555,11.661903,10.816654,12.806249,5.8309517,7.8102493,7.28011,7.615773,6.7082043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2111025,5.8309517,14.3178215,4.2426405,1.4142135,8.246211,4.472136,4.0,5.0,5.0,5.0,4.472136,5.0,10.0,6.7082043,16.643316,10.816654,7.071068,10.29563,12.806249,12.041595,15.0,17.691807,13.453625,16.643316,16.970562,0.0,-2.4149504,-2.3996453,-2.3561945,-2.3996453,-2.4558632,-2.4558632,-2.4393358,-2.2730532,-2.55359,3.1415925,-2.2794225,-2.6135182,-2.4668517,-2.6476512,-2.5899377,-2.6135182,-2.6476512,-2.1815224,-2.6011732,-2.55359,-2.4668517,-2.1112158,-2.2655346,-2.863293,-2.7367008,-2.6779451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.98279375,-0.5404195,1.359703,-0.7853982,-0.7853982,1.815775,2.0344439,-1.5707964,3.1415925,-2.4980915,-2.2142975,-2.0344439,-2.2142975,-2.2142975,-2.6779451,-2.5702553,-2.55359,-2.3561945,-2.077895,-2.4668517,-2.2974386,-2.2142975,-2.3961732,-2.4087775,-2.5702553,-2.3561945
5,1760879463.5669498,RX2,Walking,86,0.0,16.492422,17.720043,15.0,16.492422,20.248457,20.124613,21.931713,20.615528,12.999999,10.440307,11.18034,16.27882,14.866069,12.999999,15.0,16.124516,12.041595,14.866069,15.556349,10.29563,11.18034,11.401754,10.29563,12.1655245,9.055386,13.60147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.944272,9.848858,10.0,7.615773,4.472136,1.0,4.472136,1.4142135,1.0,5.0990195,7.071068,7.0,5.0,7.071068,7.28011,6.3245554,9.486833,11.18034,12.041595,14.035668,13.038405,10.29563,12.649111,21.189621,18.973665,20.880613,0.0,-0.24497867,-0.28605142,-0.6435011,-0.24497867,-0.3529904,-0.4636476,-0.42285392,-0.24497867,-0.39479113,0.2914568,-0.4636476,-0.7419473,-0.7378151,-0.39479113,-0.9272952,-0.5191461,-0.7266423,-0.8329813,-0.7853982,-0.5070985,-0.4636476,-0.66104317,-1.0636978,-1.4056476,-1.4601392,-0.6287963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6779451,2.7233684,3.1415925,2.7367008,-2.6779451,3.1415925,-2.6779451,-0.7853982,-1.5707964,-0.19739556,-0.7853982,0.0,0.0,-0.14189705,-0.27829966,-0.32175055,-0.32175055,-0.4636476,-0.08314123,-0.071307465,-0.07677189,-0.5070985,-0.32175055,-0.3366748,-0.32175055,-0.2914568
6,1760879463.578172,RX2,Walking,84,0.0,13.601471,13.341663,13.601471,13.0,12.649111,11.704699,13.928389,12.369316,11.704699,16.124516,11.0,11.18034,10.049876,11.401754,9.055386,13.0,11.0,11.045361,10.198039,13.038405,14.035668,16.124516,11.045361,15.132746,15.524176,14.86607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2111025,5.656854,5.8309517,8.5440035,6.0827622,9.219544,8.5440035,8.602325,8.062258,11.045361,6.0827622,7.615773,9.219544,9.486833,12.1655245,11.18034,12.083046,11.704699,10.440307,14.86607,11.401754,13.152946,12.649111,13.152946,13.601471,16.155495,0.0,1.8692952,1.7975951,1.8692952,1.5707964,1.8925469,1.9195673,1.9379702,1.815775,1.9195673,2.0899425,1.5707964,1.7506498,1.670465,1.8370484,1.6814536,1.5707964,1.5707964,1.4801364,1.3734008,1.4940244,1.4994888,1.4464413,1.4801364,1.7033478,1.8313987,1.9138203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55359,2.3561945,2.1112158,1.929567,1.735945,2.2794225,1.929567,2.1910458,1.4464413,1.6614562,1.4056476,1.9756881,1.7894653,1.8925469,1.735945,1.7506498,1.9974238,1.9195673,1.8622531,1.9138203,1.8370484,1.7234457,1.8925469,1.7234457,1.8692952,1.9513026
7,1760879463.639214,RX2,Walking,83,0.0,10.770329,16.763054,13.928389,13.152946,14.56022,14.035668,14.764824,16.155495,12.999999,13.928389,12.041595,8.246211,11.18034,9.219544,10.049876,11.045361,12.041595,11.045361,14.0,10.770329,13.038405,13.601471,15.297058,14.035668,16.124516,16.763054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0990195,3.6055512,6.4031243,7.615773,7.2111025,7.8102493,8.062258,9.219544,8.5440035,9.848858,11.18034,10.440307,9.486833,11.704699,14.3178215,10.816654,12.083046,10.29563,10.816654,15.231546,13.038404,12.999999,13.416409,15.297058,16.155495,15.231546,0.0,-2.7610862,-2.8387077,-2.7744188,-2.9889433,-2.863293,-3.070285,-2.6476512,-2.7610862,-2.7468016,-2.7744188,-3.0584514,-2.896614,2.961739,2.9229238,3.041924,3.050933,-3.0584514,3.050933,3.1415925,2.7610862,3.0648208,-2.8430936,-2.9441972,-3.070285,-3.0172377,-2.8387077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9441972,-2.158799,-2.2455373,-2.7367008,-2.55359,-2.2655346,-2.6224465,-2.9229238,-2.782822,-2.7233684,-2.961739,-2.8501358,-2.819842,-2.7928216,-2.9304993,-2.55359,-2.714965,-2.634494,-2.55359,-2.7367008,-2.5748634,-2.7468016,-2.6779451,-2.9441972,-2.7610862,-2.7367008
8,1760879463.654051,RX2,Walking,86,0.0,15.264338,14.86607,17.492855,17.888544,19.313208,18.867962,17.888544,17.492855,16.155495,21.587034,15.524176,13.416409,15.264338,12.999999,15.231546,13.416409,14.866069,15.811389,13.038404,12.806249,14.21267,10.29563,8.602325,8.944272,7.8102493,7.8102493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1622777,5.0,6.0,1.4142135,1.4142135,3.0,1.0,1.4142135,4.2426405,3.6055512,5.0990195,5.3851647,7.071068,8.062258,10.630146,11.313708,9.433981,11.18034,13.038404,12.529964,14.866069,14.21267,14.142136,18.601074,18.601074,18.027756,0.0,-0.551655,-0.34302393,-0.5404195,-0.4636476,-0.37089127,-0.5585993,-0.4636476,-0.5404195,-0.38050637,-0.23374318,-0.26060238,-0.4636476,-0.551655,-0.39479113,-0.4048918,-0.4636476,-0.7378151,-0.6055447,-0.5667292,-0.67474097,-0.6857295,-0.5070985,-0.6202495,-0.4636476,-0.87605804,-0.87605804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2490457,2.2142975,1.5707964,-2.3561945,0.7853982,1.5707964,1.5707964,2.3561945,-0.7853982,-0.5880026,-1.3734008,0.38050637,-0.7853982,-0.5191461,-0.71883,-0.7853982,-0.5585993,-0.4636476,-0.5667292,-0.49934673,-0.7378151,-0.6857295,-0.7853982,-0.63274884,-0.63274884,-0.5880026
9,1760879463.679859,RX2,Walking,82,0.0,13.892444,13.416409,12.083046,15.297058,13.601471,12.1655245,10.440307,11.661903,12.041595,8.246211,12.369316,10.440307,12.1655245,10.0,11.18034,15.132746,14.035668,9.0,16.03122,13.152946,13.152946,17.0,18.110771,14.0,17.117243,17.888544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.615773,4.0,7.071068,8.944272,7.8102493,8.944272,9.433981,9.433981,13.038404,12.7279215,12.806249,9.219544,11.401754,12.206555,13.60147,15.0,12.806249,15.0,14.422205,13.892444,13.038404,15.811389,10.630146,15.264338,13.892444,15.811389,0.0,-2.6135182,-2.6779451,-2.714965,-2.9441972,-2.8430936,-2.976444,-2.8501358,-2.6011732,3.0584514,-2.896614,-2.896614,-2.8501358,-2.976444,3.1415925,-2.961739,3.009041,-3.070285,3.1415925,-3.0791738,2.9889433,-2.9889433,3.1415925,-3.0309355,3.1415925,-3.024484,-2.6779451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9756881,-1.5707964,-2.3561945,-2.6779451,-2.4468544,-2.6779451,-2.1293957,-2.5829933,-2.5748634,-2.3561945,-2.4668517,-2.4329665,-2.2318394,-2.5308666,-2.5127964,-2.4980915,-2.4668517,-2.2142975,-2.55359,-2.6135182,-2.5748634,-2.536048,-2.4227626,-2.5899377,-2.6135182,-2.536048
10,1760879463.693019,RX2,Walking,85,0.0,14.86607,18.788294,15.264338,16.155495,14.317821,15.811388,12.999999,18.110771,15.297058,19.104973,10.049876,9.433981,12.649111,11.18034,13.60147,12.083046,12.529964,11.401754,14.317821,9.848858,9.055386,11.18034,11.0,8.246211,6.7082043,2.236068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.071068,6.0827622,4.0,3.6055512,3.1622777,4.1231055,3.1622777,2.236068,3.0,3.1622777,8.5440035,5.0990195,4.1231055,7.28011,7.615773,7.8102493,6.7082043,9.848858,9.0,10.198039,11.401754,10.630146,12.999999,14.86607,16.155495,19.646885,0.0,2.7985687,2.70175,2.5899377,2.7610862,2.709185,2.819842,2.7468016,3.0309355,2.9441972,2.3932147,3.041924,2.5829933,2.819842,2.6779451,2.5127964,2.714965,2.642246,2.8753407,2.709185,2.7233684,3.0309355,2.6779451,3.1415925,-2.896614,2.6779451,-2.6779451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7126933,-1.735945,-1.5707964,-2.158799,-1.8925469,-1.3258177,2.819842,-2.6779451,3.1415925,2.819842,2.782822,2.9441972,-2.896614,-2.863293,2.7367008,2.4468544,2.6779451,2.7233684,3.1415925,2.9441972,2.8753407,2.4227626,2.7468016,2.7985687,2.7610862,2.884269
