timestamp,subcarrier_index,I,Q,magnitude,phase
0.0005,0,112,8,112.285,4.09
0.0005,1,0,-7,7.0,-90.0
0.0005,2,-29,-8,30.083,-164.58
0.0005,3,-28,-7,28.862,-165.96
0.0005,4,-24,-7,25.0,-163.74
0.0005,5,-23,-4,23.345,-170.13
0.0005,6,-23,-3,23.195,-172.57
0.0005,7,-20,2,20.1,174.29
0.0005,8,-20,3,20.224,171.47
0.0005,9,-18,5,18.682,164.48
0.0005,10,-19,7,20.248,159.78
0.0005,11,-22,9,23.77,157.75
0.0005,12,-25,6,25.71,166.5
0.0005,13,-23,10,25.08,156.5
0.0005,14,-27,9,28.46,161.57
0.0005,15,-28,8,29.12,164.05
0.0005,16,-26,8,27.203,162.9
0.0005,17,-23,7,24.042,163.07
0.0005,18,-23,8,24.352,160.82
0.0005,19,-18,6,18.974,161.57
0.0005,20,-15,7,16.553,154.98
0.0005,21,-11,8,13.601,143.97
0.0005,22,-7,9,11.402,127.87
0.0005,23,-2,11,11.18,100.3
0.0005,24,3,13,13.342,77.01
0.0005,25,5,13,13.928,68.96
0.0005,26,9,0,9.0,0.0
0.0005,27,0,0,0.0,0.0
0.0005,28,0,0,0.0,0.0
0.0005,29,0,0,0.0,0.0
0.0005,30,0,0,0.0,0.0
0.0005,31,0,0,0.0,0.0
0.0005,32,0,0,0.0,0.0
0.0005,33,0,0,0.0,0.0
0.0005,34,0,0,0.0,0.0
0.0005,35,0,0,0.0,0.0
0.0005,36,0,0,0.0,0.0
0.0005,37,0,-6,6.0,-90.0
0.0005,38,6,-10,11.662,-59.04
0.0005,39,2,-13,13.153,-81.25
0.0005,40,-2,-15,15.133,-97.59
0.0005,41,-2,-21,21.095,-95.44
0.0005,42,-5,-26,26.476,-100.89
0.0005,43,-6,-30,30.594,-101.31
0.0005,44,-7,-34,34.713,-101.63
0.0005,45,-6,-37,37.483,-99.21
0.0005,46,-4,-38,38.21,-96.01
0.0005,47,-4,-39,39.205,-95.86
0.0005,48,-2,-39,39.051,-92.94
0.0005,49,0,-36,36.0,-90.0
0.0005,50,3,-31,31.145,-84.47
0.0005,51,4,-27,27.295,-81.57
0.0005,52,6,-21,21.84,-74.05
0.0005,53,6,-16,17.088,-69.44
0.0005,54,4,-11,11.705,-70.02
0.0005,55,1,-6,6.083,-80.54
0.0005,56,-2,-2,2.828,-135.0
0.0005,57,-5,1,5.099,168.69
0.0005,58,-11,2,11.18,169.7
0.0005,59,-15,2,15.133,172.41
0.0005,60,-21,1,21.024,177.27
0.0005,61,-25,0,25.0,180.0
0.0005,62,-27,-3,27.166,-173.66
0.041,0,81,25,84.77,17.15
0.041,1,0,25,25.0,90.0
0.041,2,16,23,28.018,55.18
0.041,3,15,20,25.0,53.13
0.041,4,16,21,26.401,52.7
0.041,5,11,17,20.248,57.09
0.041,6,12,14,18.439,49.4
0.041,7,14,13,19.105,42.88
0.041,8,16,10,18.868,32.01
0.041,9,16,9,18.358,29.36
0.041,10,18,6,18.974,18.43
0.041,11,21,8,22.472,20.85
0.041,12,24,5,24.515,11.77
0.041,13,22,11,24.597,26.57
0.041,14,26,10,27.857,21.04
0.041,15,24,8,25.298,18.43
0.041,16,23,10,25.08,23.5
0.041,17,24,7,25.0,16.26
0.041,18,20,5,20.616,14.04
0.041,19,19,2,19.105,6.01
0.041,20,14,0,14.0,0.0
0.041,21,12,-2,12.166,-9.46
0.041,22,9,-7,11.402,-37.87
0.041,23,7,-11,13.038,-57.53
0.041,24,5,-13,13.928,-68.96
0.041,25,4,-16,16.492,-75.96
0.041,26,2,0,2.0,0.0
0.041,27,0,0,0.0,0.0
0.041,28,0,0,0.0,0.0
0.041,29,0,0,0.0,0.0
0.041,30,0,0,0.0,0.0
0.041,31,0,0,0.0,0.0
0.041,32,0,0,0.0,0.0
0.041,33,0,0,0.0,0.0
0.041,34,0,0,0.0,0.0
0.041,35,0,0,0.0,0.0
0.041,36,0,0,0.0,0.0
0.041,37,0,0,0.0,0.0
0.041,38,-9,4,9.849,156.04
0.041,39,-8,8,11.314,135.0
0.041,40,-8,13,15.264,121.61
0.041,41,-9,18,20.125,116.57
0.041,42,-11,22,24.597,116.57
0.041,43,-13,25,28.178,117.47
0.041,44,-15,28,31.765,118.18
0.041,45,-18,30,34.986,120.96
0.041,46,-20,31,36.892,122.83
0.041,47,-23,29,37.014,128.42
0.041,48,-23,27,35.468,130.43
0.041,49,-24,25,34.655,133.83
0.041,50,-26,20,32.802,142.43
0.041,51,-25,15,29.155,149.04
0.041,52,-22,11,24.597,153.43
0.041,53,-18,8,19.698,156.04
0.041,54,-13,6,14.318,155.22
0.041,55,-8,4,8.944,153.43
0.041,56,-4,4,5.657,135.0
0.041,57,2,6,6.325,71.57
0.041,58,7,7,9.899,45.0
0.041,59,12,11,16.279,42.51
0.041,60,18,13,22.204,35.84
0.041,61,19,16,24.839,40.1
0.041,62,21,21,29.698,45.0
0.0601,0,1,27,27.019,87.88
0.0601,1,0,27,27.0,90.0
0.0601,2,-14,26,29.53,118.3
0.0601,3,-12,22,25.06,118.61
0.0601,4,-14,21,25.239,123.69
0.0601,5,-13,19,23.022,124.38
0.0601,6,-9,20,21.932,114.23
0.0601,7,-5,19,19.647,104.74
0.0601,8,-3,19,19.235,98.97
0.0601,9,0,19,19.0,90.0
0.0601,10,1,21,21.024,87.27
0.0601,11,3,24,24.187,82.87
0.0601,12,5,26,26.476,79.11
0.0601,13,5,26,26.476,79.11
0.0601,14,5,27,27.459,79.51
0.0601,15,5,25,25.495,78.69
0.0601,16,4,24,24.331,80.54
0.0601,17,4,21,21.378,79.22
0.0601,18,4,19,19.416,78.11
0.0601,19,3,15,15.297,78.69
0.0601,20,4,10,10.77,68.2
0.0601,21,5,7,8.602,54.46
0.0601,22,8,3,8.544,20.56
0.0601,23,9,-2,9.22,-12.53
0.0601,24,10,-4,10.77,-21.8
0.0601,25,13,-7,14.765,-28.3
0.0601,26,14,0,14.0,0.0
