timestamp,subcarrier_index,I,Q,magnitude,phase
0.0003,0,-64,8,64.498,172.87
0.0003,1,0,27,27.0,90.0
0.0003,2,10,25,26.926,68.2
0.0003,3,8,20,21.541,68.2
0.0003,4,9,16,18.358,60.64
0.0003,5,9,11,14.213,50.71
0.0003,6,11,7,13.038,32.47
0.0003,7,14,5,14.866,19.65
0.0003,8,18,2,18.111,6.34
0.0003,9,20,1,20.025,2.86
0.0003,10,23,1,23.022,2.49
0.0003,11,28,2,28.071,4.09
0.0003,12,28,5,28.443,10.12
0.0003,13,30,5,30.414,9.46
0.0003,14,27,6,27.659,12.53
0.0003,15,27,6,27.659,12.53
0.0003,16,23,7,24.042,16.93
0.0003,17,19,4,19.416,11.89
0.0003,18,16,1,16.031,3.58
0.0003,19,11,-1,11.045,-5.19
0.0003,20,7,-6,9.22,-40.6
0.0003,21,4,-10,10.77,-68.2
0.0003,22,2,-14,14.142,-81.87
0.0003,23,0,-17,17.0,-90.0
0.0003,24,-1,-21,21.024,-92.73
0.0003,25,1,-24,24.021,-87.61
0.0003,26,-1,0,1.0,180.0
0.0003,27,0,0,0.0,0.0
0.0003,28,0,0,0.0,0.0
0.0003,29,0,0,0.0,0.0
0.0003,30,0,0,0.0,0.0
0.0003,31,0,0,0.0,0.0
0.0003,32,0,0,0.0,0.0
0.0003,33,0,0,0.0,0.0
0.0003,34,0,0,0.0,0.0
0.0003,35,0,0,0.0,0.0
0.0003,36,0,0,0.0,0.0
0.0003,37,0,-1,1.0,-90.0
0.0003,38,-7,4,8.062,150.26
0.0003,39,-8,7,10.63,138.81
0.0003,40,-8,10,12.806,128.66
0.0003,41,-8,16,17.889,116.57
0.0003,42,-10,19,21.471,117.76
0.0003,43,-13,21,24.698,121.76
0.0003,44,-16,25,29.682,122.62
0.0003,45,-20,26,32.802,127.57
0.0003,46,-23,26,34.713,131.5
0.0003,47,-25,25,35.355,135.0
0.0003,48,-24,25,34.655,133.83
0.0003,49,-27,21,34.205,142.13
0.0003,50,-25,18,30.806,144.25
0.0003,51,-24,15,28.302,147.99
0.0003,52,-20,12,23.324,149.04
0.0003,53,-16,9,18.358,150.64
0.0003,54,-10,10,14.142,135.0
0.0003,55,-4,9,9.849,113.96
0.0003,56,0,13,13.0,90.0
0.0003,57,6,15,16.155,68.2
0.0003,58,11,20,22.825,61.19
0.0003,59,15,23,27.459,56.89
0.0003,60,18,26,31.623,55.3
0.0003,61,19,27,33.015,54.87
0.0003,62,18,32,36.715,60.64
0.0241,0,-111,26,114.004,166.82
0.0241,1,0,-14,14.0,-90.0
0.0241,2,-29,-9,30.364,-162.76
