timestamp,subcarrier_index,I,Q,magnitude,phase
0.0017,0,-31,24,39.205,142.25
0.0017,1,0,-1,1.0,-90.0
0.0017,2,-34,-2,34.059,-176.63
0.0017,3,-31,-1,31.016,-178.15
0.0017,4,-27,2,27.074,175.76
0.0017,5,-21,5,21.587,166.61
0.0017,6,-19,7,20.248,159.78
0.0017,7,-16,13,20.616,140.91
0.0017,8,-14,17,22.023,129.47
0.0017,9,-14,20,24.413,124.99
0.0017,10,-14,25,28.653,119.25
0.0017,11,-16,26,30.529,121.61
0.0017,12,-18,29,34.132,121.83
0.0017,13,-18,30,34.986,120.96
0.0017,14,-21,30,36.62,124.99
0.0017,15,-25,30,39.051,129.81
0.0017,16,-26,27,37.483,133.92
0.0017,17,-24,24,33.941,135.0
0.0017,18,-24,20,31.241,140.19
0.0017,19,-22,16,27.203,143.97
0.0017,20,-19,11,21.954,149.93
0.0017,21,-15,7,16.553,154.98
0.0017,22,-13,2,13.153,171.25
0.0017,23,-8,0,8.0,180.0
0.0017,24,-4,-3,5.0,-143.13
0.0017,25,2,-6,6.325,-71.57
0.0017,26,6,0,6.0,0.0
0.0017,27,0,0,0.0,0.0
0.0017,28,0,0,0.0,0.0
0.0017,29,0,0,0.0,0.0
0.0017,30,0,0,0.0,0.0
0.0017,31,0,0,0.0,0.0
0.0017,32,0,0,0.0,0.0
0.0017,33,0,0,0.0,0.0
0.0017,34,0,0,0.0,0.0
0.0017,35,0,0,0.0,0.0
0.0017,36,0,0,0.0,0.0
0.0017,37,0,9,9.0,90.0
0.0017,38,22,6,22.804,15.26
0.0017,39,20,2,20.1,5.71
0.0017,40,20,-2,20.1,-5.71
0.0017,41,19,-5,19.647,-14.74
0.0017,42,16,-9,18.358,-29.36
0.0017,43,15,-11,18.601,-36.25
0.0017,44,14,-14,19.799,-45.0
0.0017,45,14,-16,21.26,-48.81
0.0017,46,12,-17,20.809,-54.78
0.0017,47,12,-17,20.809,-54.78
0.0017,48,11,-16,19.416,-55.49
0.0017,49,9,-14,16.643,-57.26
0.0017,50,9,-10,13.454,-48.01
0.0017,51,6,-7,9.22,-49.4
0.0017,52,4,-4,5.657,-45.0
0.0017,53,1,0,1.0,0.0
0.0017,54,-2,4,4.472,116.57
0.0017,55,-7,5,8.602,144.46
0.0017,56,-12,8,14.422,146.31
0.0017,57,-18,8,19.698,156.04
0.0017,58,-22,8,23.409,160.02
0.0017,59,-27,8,28.16,163.5
0.0017,60,-32,6,32.558,169.38
0.0017,61,-34,5,34.366,171.63
0.0017,62,-37,2,37.054,176.91
0.139,0,16,12,20.0,36.87
0.139,1,0,32,32.0,90.0
0.139,2,-12,29,31.385,112.48
0.139,3,-8,25,26.249,107.74
0.139,4,-8,21,22.472,110.85
0.139,5,-4,20,20.396,101.31
0.139,6,-1,17,17.029,93.37
0.139,7,4,16,16.492,75.96
0.139,8,8,17,18.788,64.8
0.139,9,12,18,21.633,56.31
0.139,10,17,19,25.495,48.18
0.139,11,18,24,30.0,53.13
0.139,12,21,25,32.65,49.97
0.139,13,22,27,34.828,50.83
0.139,14,22,30,37.202,53.75
0.139,15,21,30,36.62,55.01
0.139,16,20,30,36.056,56.31
0.139,17,19,28,33.838,55.84
0.139,18,15,26,30.017,60.02
0.139,19,12,22,25.06,61.39
0.139,20,9,17,19.235,62.1
0.139,21,5,12,13.0,67.38
0.139,22,2,7,7.28,74.05
0.139,23,0,1,1.0,90.0
0.139,24,-2,-4,4.472,-116.57
0.139,25,-3,-8,8.544,-110.56
0.139,26,-4,0,4.0,180.0
0.139,27,0,0,0.0,0.0
0.139,28,0,0,0.0,0.0
0.139,29,0,0,0.0,0.0
0.139,30,0,0,0.0,0.0
0.139,31,0,0,0.0,0.0
0.139,32,0,0,0.0,0.0
0.139,33,0,0,0.0,0.0
0.139,34,0,0,0.0,0.0
0.139,35,0,0,0.0,0.0
0.139,36,0,0,0.0,0.0
0.139,37,0,-20,20.0,-90.0
0.139,38,14,-20,24.413,-55.01
0.139,39,10,-20,22.361,-63.43
0.139,40,6,-18,18.974,-71.57
0.139,41,2,-18,18.111,-83.66
0.139,42,-2,-17,17.117,-96.71
0.139,43,-5,-18,18.682,-105.52
0.139,44,-8,-17,18.788,-115.2
0.139,45,-10,-16,18.868,-122.01
0.139,46,-13,-15,19.849,-130.91
0.139,47,-14,-15,20.518,-133.03
0.139,48,-13,-14,19.105,-132.88
0.139,49,-12,-12,16.971,-135.0
0.139,50,-12,-10,15.62,-140.19
0.139,51,-8,-6,10.0,-143.13
0.139,52,-6,-3,6.708,-153.43
0.139,53,-3,2,3.606,146.31
0.139,54,-1,5,5.099,101.31
0.139,55,2,13,13.153,81.25
0.139,56,3,16,16.279,79.38
0.139,57,5,23,23.537,77.74
0.139,58,3,28,28.16,83.88
0.139,59,1,31,31.016,88.15
0.139,60,1,33,33.015,88.26
0.139,61,1,35,35.014,88.36
0.139,62,-5,36,36.346,97.91
0.175,0,0,12,12.0,90.0
0.175,1,0,37,37.0,90.0
0.175,2,2,33,33.061,86.53
0.175,3,1,30,30.017,88.09
0.175,4,2,24,24.083,85.24
0.175,5,3,19,19.235,81.03
0.175,6,6,18,18.974,71.57
0.175,7,12,16,20.0,53.13
0.175,8,16,13,20.616,39.09
0.175,9,19,15,24.207,38.29
0.175,10,23,14,26.926,31.33
0.175,11,29,17,33.615,30.38
0.175,12,29,17,33.615,30.38
0.175,13,34,21,39.962,31.7
0.175,14,35,25,43.012,35.54
0.175,15,35,26,43.6,36.61
0.175,16,33,26,42.012,38.23
0.175,17,32,24,40.0,36.87
0.175,18,28,24,36.878,40.6
0.175,19,22,21,30.414,43.67
0.175,20,18,16,24.083,41.63
0.175,21,12,12,16.971,45.0
0.175,22,8,7,10.63,41.19
0.175,23,2,2,2.828,45.0
0.175,24,-1,-3,3.162,-108.43
0.175,25,-4,-7,8.062,-119.74
0.175,26,-8,0,8.0,180.0
0.175,27,0,0,0.0,0.0
0.175,28,0,0,0.0,0.0
0.175,29,0,0,0.0,0.0
0.175,30,0,0,0.0,0.0
0.175,31,0,0,0.0,0.0
0.175,32,0,0,0.0,0.0
0.175,33,0,0,0.0,0.0
0.175,34,0,0,0.0,0.0
0.175,35,0,0,0.0,0.0
0.175,36,0,0,0.0,0.0
0.175,37,0,-26,26.0,-90.0
0.175,38,6,-25,25.71,-76.5
0.175,39,2,-23,23.087,-85.03
0.175,40,-2,-21,21.095,-95.44
0.175,41,-5,-19,19.647,-104.74
0.175,42,-9,-17,19.235,-117.9
0.175,43,-12,-15,19.209,-128.66
0.175,44,-14,-13,19.105,-137.12
0.175,45,-17,-13,21.401,-142.59
0.175,46,-19,-11,21.954,-149.93
0.175,47,-21,-10,23.259,-154.54
0.175,48,-20,-9,21.932,-155.77
0.175,49,-18,-8,19.698,-156.04
0.175,50,-17,-7,18.385,-157.62
0.175,51,-13,-4,13.601,-162.9
0.175,52,-10,-2,10.198,-168.69
0.175,53,-3,2,3.606,146.31
0.175,54,1,6,6.083,80.54
0.175,55,5,12,13.0,67.38
0.175,56,8,18,19.698,66.04
0.175,57,11,23,25.495,64.44
0.175,58,12,29,31.385,67.52
0.175,59,13,32,34.54,67.89
0.175,60,12,38,39.85,72.47
0.175,61,11,41,42.45,74.98
0.175,62,9,40,41.0,77.32
0.2399,0,-79,28,83.815,160.48
0.2399,1,0,32,32.0,90.0
0.2399,2,3,28,28.16,83.88
0.2399,3,4,25,25.318,80.91
0.2399,4,4,21,21.378,79.22
0.2399,5,6,17,18.028,70.56
0.2399,6,8,15,17.0,61.93
0.2399,7,11,13,17.029,49.76
0.2399,8,14,12,18.439,40.6
0.2399,9,19,11,21.954,30.07
0.2399,10,22,11,24.597,26.57
0.2399,11,24,14,27.785,30.26
0.2399,12,28,16,32.249,29.74
0.2399,13,30,17,34.482,29.54
0.2399,14,32,21,38.275,33.27
0.2399,15,31,21,37.443,34.11
0.2399,16,31,21,37.443,34.11
0.2399,17,29,21,35.805,35.91
0.2399,18,25,19,31.401,37.23
0.2399,19,21,17,27.019,38.99
0.2399,20,16,15,21.932,43.15
0.2399,21,12,11,16.279,42.51
0.2399,22,8,6,10.0,36.87
0.2399,23,3,2,3.606,33.69
0.2399,24,-1,-1,1.414,-135.0
0.2399,25,-4,-6,7.211,-123.69
0.2399,26,-6,0,6.0,180.0
0.2399,27,0,0,0.0,0.0
0.2399,28,0,0,0.0,0.0
0.2399,29,0,0,0.0,0.0
0.2399,30,0,0,0.0,0.0
0.2399,31,0,0,0.0,0.0
0.2399,32,0,0,0.0,0.0
0.2399,33,0,0,0.0,0.0
0.2399,34,0,0,0.0,0.0
0.2399,35,0,0,0.0,0.0
0.2399,36,0,0,0.0,0.0
0.2399,37,0,-24,24.0,-90.0
0.2399,38,4,-22,22.361,-79.7
0.2399,39,0,-20,20.0,-90.0
0.2399,40,-2,-18,18.111,-96.34
0.2399,41,-6,-16,17.088,-110.56
0.2399,42,-9,-14,16.643,-122.74
0.2399,43,-11,-13,17.029,-130.24
0.2399,44,-13,-12,17.692,-137.29
0.2399,45,-16,-10,18.868,-147.99
0.2399,46,-18,-10,20.591,-150.95
0.2399,47,-19,-8,20.616,-157.17
0.2399,48,-18,-8,19.698,-156.04
0.2399,49,-17,-7,18.385,-157.62
0.2399,50,-16,-6,17.088,-159.44
0.2399,51,-10,-4,10.77,-158.2
0.2399,52,-7,-2,7.28,-164.05
0.2399,53,-2,1,2.236,153.43
0.2399,54,2,5,5.385,68.2
0.2399,55,5,9,10.296,60.95
0.2399,56,8,13,15.264,58.39
0.2399,57,10,21,23.259,64.54
0.2399,58,12,24,26.833,63.43
0.2399,59,14,29,32.202,64.23
0.2399,60,13,32,34.54,67.89
0.2399,61,9,34,35.171,75.17
0.2399,62,9,33,34.205,74.74
0.2861,0,96,14,97.015,8.3
0.2861,1,0,-36,36.0,-90.0
0.2861,2,14,-31,34.015,-65.7
0.2861,3,13,-27,29.967,-64.29
0.2861,4,12,-26,28.636,-65.22
0.2861,5,7,-21,22.136,-71.57
0.2861,6,4,-22,22.361,-79.7
0.2861,7,-3,-21,21.213,-98.13
0.2861,8,-8,-22,23.409,-109.98
0.2861,9,-12,-27,29.547,-113.96
0.2861,10,-17,-29,33.615,-120.38
0.2861,11,-18,-32,36.715,-119.36
0.2861,12,-21,-34,39.962,-121.7
0.2861,13,-22,-37,43.046,-120.74
0.2861,14,-22,-38,43.909,-120.07
0.2861,15,-20,-38,42.942,-117.76
0.2861,16,-19,-39,43.382,-115.97
0.2861,17,-16,-37,40.311,-113.39
0.2861,18,-12,-32,34.176,-110.56
0.2861,19,-10,-26,27.857,-111.04
0.2861,20,-7,-22,23.087,-107.65
0.2861,21,-4,-15,15.524,-104.93
0.2861,22,-1,-8,8.062,-97.13
0.2861,23,0,-3,3.0,-90.0
0.2861,24,1,4,4.123,75.96
0.2861,25,1,8,8.062,82.87
0.2861,26,2,0,2.0,0.0
