timestamp,subcarrier_index,I,Q,magnitude,phase
0.0498,0,23,113,115.317,78.5
0.0498,1,17,0,17.0,0.0
0.0498,2,5,13,13.928,68.96
0.0498,3,6,34,34.525,79.99
0.0498,4,20,22,29.732,47.73
0.0498,5,15,22,26.627,55.71
0.0498,6,10,9,13.454,41.99
0.0498,7,11,31,32.894,70.46
0.0498,8,12,10,15.62,39.81
0.0498,9,5,32,32.388,81.12
0.0498,10,6,8,10.0,53.13
0.0498,11,5,21,21.587,76.61
0.0498,12,15,16,21.932,46.85
0.0498,13,13,20,23.854,56.98
0.0498,14,10,16,18.868,57.99
0.0498,15,8,20,21.541,68.2
0.0498,16,-3,16,16.279,100.62
0.0498,17,16,22,27.203,53.97
0.0498,18,7,8,10.63,48.81
0.0498,19,7,12,13.892,59.74
0.0498,20,5,17,17.72,73.61
0.0498,21,5,14,14.866,70.35
0.0498,22,5,23,23.537,77.74
0.0498,23,10,19,21.471,62.24
0.0498,24,5,16,16.763,72.65
0.0498,25,12,18,21.633,56.31
0.0498,26,8,12,14.422,56.31
0.0498,27,0,0,0.0,0.0
0.0498,28,0,0,0.0,0.0
0.0498,29,0,0,0.0,0.0
0.0498,30,0,0,0.0,0.0
0.0498,31,0,0,0.0,0.0
0.0498,32,0,0,0.0,0.0
0.0498,33,0,0,0.0,0.0
0.0498,34,0,0,0.0,0.0
0.0498,35,0,0,0.0,0.0
0.0498,36,0,0,0.0,0.0
0.0498,37,0,0,0.0,0.0
0.0498,38,12,16,20.0,53.13
0.0498,39,13,14,19.105,47.12
0.0498,40,13,12,17.692,42.71
0.0498,41,5,15,15.811,71.57
0.0498,42,4,14,14.56,74.05
0.0498,43,7,23,24.042,73.07
0.0498,44,8,19,20.616,67.17
0.0498,45,11,18,21.095,58.57
0.0498,46,7,14,15.652,63.43
0.0498,47,14,30,33.106,64.98
0.0498,48,3,24,24.187,82.87
0.0498,49,6,20,20.881,73.3
0.0498,50,10,22,24.166,65.56
0.0498,51,4,26,26.306,81.25
0.0498,52,5,21,21.587,76.61
0.0498,53,6,17,18.028,70.56
0.0498,54,9,15,17.493,59.04
0.0498,55,5,25,25.495,78.69
0.0498,56,11,20,22.825,61.19
0.0498,57,11,25,27.313,66.25
0.0498,58,12,19,22.472,57.72
0.0498,59,18,9,20.125,26.57
0.0498,60,12,19,22.472,57.72
0.0498,61,-4,34,34.234,96.71
0.0498,62,2,18,18.111,83.66
0.0498,63,0,18,18.0,90.0
0.1519,0,23,113,115.317,78.5
0.1519,1,17,0,17.0,0.0
0.1519,2,4,-3,5.0,-36.87
0.1519,3,-4,41,41.195,95.57
0.1519,4,-3,15,15.297,101.31
0.1519,5,6,13,14.318,65.22
0.1519,6,7,21,22.136,71.57
0.1519,7,3,17,17.263,79.99
0.1519,8,-3,19,19.235,98.97
0.1519,9,0,23,23.0,90.0
0.1519,10,-8,25,26.249,107.74
0.1519,11,9,16,18.358,60.64
0.1519,12,-2,14,14.142,98.13
0.1519,13,6,21,21.84,74.05
0.1519,14,4,20,20.396,78.69
0.1519,15,5,25,25.495,78.69
0.1519,16,-2,18,18.111,96.34
0.1519,17,-7,23,24.042,106.93
0.1519,18,4,8,8.944,63.43
0.1519,19,-15,14,20.518,136.97
0.1519,20,-3,14,14.318,102.09
0.1519,21,-6,16,17.088,110.56
0.1519,22,-7,15,16.553,115.02
0.1519,23,-5,8,9.434,122.01
0.1519,24,-9,11,14.213,129.29
0.1519,25,-13,15,19.849,130.91
0.1519,26,-4,7,8.062,119.74
0.1519,27,0,0,0.0,0.0
0.1519,28,0,0,0.0,0.0
0.1519,29,0,0,0.0,0.0
0.1519,30,0,0,0.0,0.0
0.1519,31,0,0,0.0,0.0
0.1519,32,0,0,0.0,0.0
0.1519,33,0,0,0.0,0.0
0.1519,34,0,0,0.0,0.0
0.1519,35,0,0,0.0,0.0
0.1519,36,0,0,0.0,0.0
0.1519,37,0,0,0.0,0.0
0.1519,38,19,-11,21.954,-30.07
0.1519,39,16,-9,18.358,-29.36
0.1519,40,17,-6,18.028,-19.44
0.1519,41,14,-5,14.866,-19.65
0.1519,42,17,-3,17.263,-10.01
0.1519,43,24,0,24.0,0.0
0.1519,44,22,8,23.409,19.98
0.1519,45,16,2,16.125,7.13
0.1519,46,22,-5,22.561,-12.8
0.1519,47,22,-2,22.091,-5.19
0.1519,48,19,10,21.471,27.76
0.1519,49,19,11,21.954,30.07
0.1519,50,18,12,21.633,33.69
0.1519,51,13,19,23.022,55.62
0.1519,52,10,13,16.401,52.43
0.1519,53,17,15,22.672,41.42
0.1519,54,0,8,8.0,90.0
0.1519,55,18,14,22.804,37.87
0.1519,56,0,17,17.0,90.0
0.1519,57,23,27,35.468,49.57
0.1519,58,7,10,12.207,55.01
0.1519,59,14,8,16.125,29.74
0.1519,60,18,15,23.431,39.81
0.1519,61,8,-1,8.062,-7.13
0.1519,62,-15,15,21.213,135.0
0.1519,63,16,33,36.674,64.13
0.2571,0,23,113,115.317,78.5
0.2571,1,17,0,17.0,0.0
0.2571,2,19,-9,21.024,-25.35
0.2571,3,-4,-9,9.849,-113.96
0.2571,4,-1,-19,19.026,-93.01
0.2571,5,8,-6,10.0,-36.87
0.2571,6,-1,-6,6.083,-99.46
0.2571,7,3,-10,10.44,-73.3
0.2571,8,4,-12,12.649,-71.57
0.2571,9,7,-19,20.248,-69.78
0.2571,10,1,-21,21.024,-87.27
0.2571,11,0,-10,10.0,-90.0
0.2571,12,7,-22,23.087,-72.35
0.2571,13,-2,-21,21.095,-95.44
0.2571,14,-4,-14,14.56,-105.95
0.2571,15,1,-17,17.029,-86.63
0.2571,16,-2,-14,14.142,-98.13
0.2571,17,0,-25,25.0,-90.0
0.2571,18,3,-20,20.224,-81.47
0.2571,19,-10,-17,19.723,-120.47
0.2571,20,-1,-11,11.045,-95.19
0.2571,21,-8,-15,17.0,-118.07
0.2571,22,-2,-6,6.325,-108.43
0.2571,23,-2,-12,12.166,-99.46
0.2571,24,-7,-11,13.038,-122.47
0.2571,25,-5,-16,16.763,-107.35
0.2571,26,-8,-13,15.264,-121.61
0.2571,27,0,0,0.0,0.0
0.2571,28,0,0,0.0,0.0
0.2571,29,0,0,0.0,0.0
0.2571,30,0,0,0.0,0.0
0.2571,31,0,0,0.0,0.0
0.2571,32,0,0,0.0,0.0
0.2571,33,0,0,0.0,0.0
0.2571,34,0,0,0.0,0.0
0.2571,35,0,0,0.0,0.0
0.2571,36,0,0,0.0,0.0
0.2571,37,0,0,0.0,0.0
0.2571,38,13,0,13.0,0.0
0.2571,39,17,1,17.029,3.37
0.2571,40,17,3,17.263,10.01
0.2571,41,14,1,14.036,4.09
0.2571,42,15,-1,15.033,-3.81
0.2571,43,16,-1,16.031,-3.58
0.2571,44,15,3,15.297,11.31
0.2571,45,14,-2,14.142,-8.13
0.2571,46,18,-2,18.111,-6.34
0.2571,47,20,4,20.396,11.31
0.2571,48,15,-5,15.811,-18.43
0.2571,49,19,-3,19.235,-8.97
0.2571,50,18,-9,20.125,-26.57
0.2571,51,23,-1,23.022,-2.49
0.2571,52,23,0,23.0,0.0
0.2571,53,11,-3,11.402,-15.26
0.2571,54,22,4,22.361,10.3
0.2571,55,15,-5,15.811,-18.43
0.2571,56,22,4,22.361,10.3
0.2571,57,12,1,12.042,4.76
0.2571,58,16,-6,17.088,-20.56
0.2571,59,23,-9,24.698,-21.37
0.2571,60,22,-10,24.166,-24.44
0.2571,61,2,-9,9.22,-77.47
0.2571,62,-14,-17,22.023,-129.47
0.2571,63,4,-19,19.416,-78.11
0.3603,0,23,113,115.317,78.5
0.3603,1,17,0,17.0,0.0
0.3603,2,15,-25,29.155,-59.04
0.3603,3,0,-7,7.0,-90.0
0.3603,4,-9,-20,21.932,-114.23
0.3603,5,3,-9,9.487,-71.57
0.3603,6,7,-23,24.042,-73.07
0.3603,7,13,-22,25.554,-59.42
0.3603,8,16,-14,21.26,-41.19
0.3603,9,-2,-9,9.22,-102.53
0.3603,10,7,-16,17.464,-66.37
0.3603,11,-1,-22,22.023,-92.6
0.3603,12,0,-18,18.0,-90.0
0.3603,13,-5,-21,21.587,-103.39
0.3603,14,-1,-24,24.021,-92.39
0.3603,15,0,-12,12.0,-90.0
0.3603,16,3,-18,18.248,-80.54
0.3603,17,-5,-15,15.811,-108.43
0.3603,18,-4,-15,15.524,-104.93
0.3603,19,-7,-9,11.402,-127.87
0.3603,20,-11,-14,17.804,-128.16
0.3603,21,-11,-15,18.601,-126.25
0.3603,22,-9,-20,21.932,-114.23
0.3603,23,-10,-11,14.866,-132.27
0.3603,24,-5,-10,11.18,-116.57
0.3603,25,-9,-14,16.643,-122.74
0.3603,26,-6,-9,10.817,-123.69
0.3603,27,0,0,0.0,0.0
0.3603,28,0,0,0.0,0.0
0.3603,29,0,0,0.0,0.0
0.3603,30,0,0,0.0,0.0
0.3603,31,0,0,0.0,0.0
0.3603,32,0,0,0.0,0.0
0.3603,33,0,0,0.0,0.0
0.3603,34,0,0,0.0,0.0
0.3603,35,0,0,0.0,0.0
0.3603,36,0,0,0.0,0.0
0.3603,37,0,0,0.0,0.0
0.3603,38,11,8,13.601,36.03
0.3603,39,8,14,16.125,60.26
0.3603,40,8,9,12.042,48.37
0.3603,41,10,14,17.205,54.46
0.3603,42,14,10,17.205,35.54
0.3603,43,9,14,16.643,57.26
0.3603,44,13,10,16.401,37.57
0.3603,45,11,11,15.556,45.0
0.3603,46,8,6,10.0,36.87
0.3603,47,20,10,22.361,26.57
0.3603,48,15,10,18.028,33.69
0.3603,49,20,9,21.932,24.23
0.3603,50,20,8,21.541,21.8
0.3603,51,16,6,17.088,20.56
0.3603,52,17,5,17.72,16.39
0.3603,53,14,7,15.652,26.57
0.3603,54,17,2,17.117,6.71
0.3603,55,13,8,15.264,31.61
0.3603,56,15,-8,17.0,-28.07
0.3603,57,18,3,18.248,9.46
0.3603,58,37,-10,38.328,-15.12
0.3603,59,10,1,10.05,5.71
0.3603,60,-7,-14,15.652,-116.57
0.3603,61,34,-10,35.44,-16.39
0.3603,62,-2,21,21.095,95.44
0.3603,63,21,4,21.378,10.78
0.9302,0,23,113,115.317,78.5
0.9302,1,17,0,17.0,0.0
0.9302,2,-24,0,24.0,180.0
0.9302,3,-25,4,25.318,170.91
0.9302,4,-19,-17,25.495,-138.18
0.9302,5,-14,-8,16.125,-150.26
0.9302,6,-9,1,9.055,173.66
0.9302,7,-18,-7,19.313,-158.75
0.9302,8,-18,-12,21.633,-146.31
0.9302,9,-13,-2,13.153,-171.25
0.9302,10,-19,-4,19.416,-168.11
0.9302,11,-14,-8,16.125,-150.26
0.9302,12,-19,0,19.0,180.0
0.9302,13,-14,0,14.0,180.0
0.9302,14,-14,6,15.232,156.8
0.9302,15,-13,1,13.038,175.6
0.9302,16,-20,7,21.19,160.71
0.9302,17,-23,7,24.042,163.07
0.9302,18,-18,5,18.682,164.48
0.9302,19,-7,-1,7.071,-171.87
0.9302,20,-20,4,20.396,168.69
0.9302,21,-22,3,22.204,172.23
0.9302,22,-17,7,18.385,157.62
0.9302,23,-12,3,12.369,165.96
0.9302,24,-21,2,21.095,174.56
0.9302,25,-19,1,19.026,176.99
0.9302,26,-15,-1,15.033,-176.19
0.9302,27,0,0,0.0,0.0
0.9302,28,0,0,0.0,0.0
0.9302,29,0,0,0.0,0.0
0.9302,30,0,0,0.0,0.0
0.9302,31,0,0,0.0,0.0
0.9302,32,0,0,0.0,0.0
0.9302,33,0,0,0.0,0.0
0.9302,34,0,0,0.0,0.0
0.9302,35,0,0,0.0,0.0
0.9302,36,0,0,0.0,0.0
0.9302,37,0,0,0.0,0.0
0.9302,38,-16,-9,18.358,-150.64
0.9302,39,-12,-6,13.416,-153.43
0.9302,40,-13,-7,14.765,-151.7
0.9302,41,-16,-9,18.358,-150.64
0.9302,42,-14,-13,19.105,-137.12
0.9302,43,-14,-7,15.652,-153.43
0.9302,44,-15,-11,18.601,-143.75
0.9302,45,-13,-6,14.318,-155.22
0.9302,46,-10,-9,13.454,-138.01
0.9302,47,-15,-10,18.028,-146.31
0.9302,48,-19,-12,22.472,-147.72
0.9302,49,-15,-8,17.0,-151.93
0.9302,50,-12,-15,19.209,-128.66
0.9302,51,-18,-15,23.431,-140.19
0.9302,52,-16,-17,23.345,-133.26
0.9302,53,-19,-6,19.925,-162.47
0.9302,54,-15,-8,17.0,-151.93
0.9302,55,-12,-10,15.62,-140.19
0.9302,56,-20,-2,20.1,-174.29
0.9302,57,-16,-7,17.464,-156.37
0.9302,58,-6,-14,15.232,-113.2
0.9302,59,-9,-3,9.487,-161.57
0.9302,60,-17,-16,23.345,-136.74
0.9302,61,-16,0,16.0,180.0
0.9302,62,-15,-18,23.431,-129.81
0.9302,63,-20,-8,21.541,-158.2
0.9757,0,23,113,115.317,78.5
0.9757,1,17,0,17.0,0.0
0.9757,2,15,-12,19.209,-38.66
0.9757,3,10,-10,14.142,-45.0
0.9757,4,12,2,12.166,9.46
0.9757,5,16,-25,29.682,-57.38
0.9757,6,25,-1,25.02,-2.29
0.9757,7,24,-16,28.844,-33.69
0.9757,8,-1,-9,9.055,-96.34
0.9757,9,29,-4,29.275,-7.85
0.9757,10,2,-15,15.133,-82.41
0.9757,11,12,-7,13.892,-30.26
0.9757,12,10,-14,17.205,-54.46
0.9757,13,17,3,17.263,10.01
0.9757,14,21,-16,26.401,-37.3
0.9757,15,1,-7,7.071,-81.87
0.9757,16,29,-12,31.385,-22.48
0.9757,17,8,-12,14.422,-56.31
0.9757,18,25,2,25.08,4.57
0.9757,19,24,-5,24.515,-11.77
0.9757,20,20,3,20.224,8.53
0.9757,21,12,-8,14.422,-33.69
0.9757,22,14,-3,14.318,-12.09
0.9757,23,20,-2,20.1,-5.71
0.9757,24,10,5,11.18,26.57
0.9757,25,18,7,19.313,21.25
0.9757,26,15,-1,15.033,-3.81
0.9757,27,0,0,0.0,0.0
0.9757,28,0,0,0.0,0.0
0.9757,29,0,0,0.0,0.0
0.9757,30,0,0,0.0,0.0
0.9757,31,0,0,0.0,0.0
0.9757,32,0,0,0.0,0.0
0.9757,33,0,0,0.0,0.0
0.9757,34,0,0,0.0,0.0
0.9757,35,0,0,0.0,0.0
0.9757,36,0,0,0.0,0.0
0.9757,37,0,0,0.0,0.0
0.9757,38,4,-17,17.464,-76.76
0.9757,39,9,-22,23.77,-67.75
0.9757,40,5,-12,13.0,-67.38
0.9757,41,10,-10,14.142,-45.0
0.9757,42,8,-17,18.788,-64.8
0.9757,43,11,-12,16.279,-47.49
0.9757,44,14,-19,23.601,-53.62
0.9757,45,7,-12,13.892,-59.74
0.9757,46,8,-16,17.889,-63.43
0.9757,47,10,-17,19.723,-59.53
0.9757,48,10,-9,13.454,-41.99
0.9757,49,12,-13,17.692,-47.29
0.9757,50,12,-15,19.209,-51.34
0.9757,51,11,-12,16.279,-47.49
0.9757,52,12,-11,16.279,-42.51
0.9757,53,14,-15,20.518,-46.97
0.9757,54,18,-9,20.125,-26.57
0.9757,55,19,-11,21.954,-30.07
0.9757,56,16,-11,19.416,-34.51
0.9757,57,13,-16,20.616,-50.91
0.9757,58,10,-11,14.866,-47.73
0.9757,59,16,-12,20.0,-36.87
