timestamp,subcarrier_index,I,Q,magnitude,phase
0.0028,0,32,6,32.558,10.62
0.0028,1,0,34,34.0,90.0
0.0028,2,18,30,34.986,59.04
0.0028,3,17,24,29.411,54.69
0.0028,4,15,18,23.431,50.19
0.0028,5,15,15,21.213,45.0
0.0028,6,14,9,16.643,32.74
0.0028,7,16,2,16.125,7.13
0.0028,8,17,-4,17.464,-13.24
0.0028,9,18,-7,19.313,-21.25
0.0028,10,23,-8,24.352,-19.18
0.0028,11,27,-11,29.155,-22.17
0.0028,12,31,-13,33.615,-22.75
0.0028,13,34,-14,36.77,-22.38
0.0028,14,38,-12,39.85,-17.53
0.0028,15,37,-11,38.601,-16.56
0.0028,16,37,-10,38.328,-15.12
0.0028,17,36,-7,36.674,-11.0
0.0028,18,33,-4,33.242,-6.91
0.0028,19,29,-2,29.069,-3.95
0.0028,20,24,0,24.0,0.0
0.0028,21,18,2,18.111,6.34
0.0028,22,13,4,13.601,17.1
0.0028,23,7,5,8.602,35.54
0.0028,24,1,7,7.071,81.87
0.0028,25,-5,8,9.434,122.01
0.0028,26,-11,0,11.0,180.0
0.0028,27,0,0,0.0,0.0
0.0028,28,0,0,0.0,0.0
0.0028,29,0,0,0.0,0.0
0.0028,30,0,0,0.0,0.0
0.0028,31,0,0,0.0,0.0
0.0028,32,0,0,0.0,0.0
0.0028,33,0,0,0.0,0.0
0.0028,34,0,0,0.0,0.0
0.0028,35,0,0,0.0,0.0
0.0028,36,0,0,0.0,0.0
0.0028,37,0,-21,21.0,-90.0
0.0028,38,12,-21,24.187,-60.26
0.0028,39,7,-19,20.248,-69.78
0.0028,40,2,-18,18.111,-83.66
0.0028,41,-1,-18,18.028,-93.18
0.0028,42,-6,-15,16.155,-111.8
0.0028,43,-9,-15,17.493,-120.96
0.0028,44,-13,-13,18.385,-135.0
0.0028,45,-15,-12,19.209,-141.34
0.0028,46,-17,-12,20.809,-144.78
0.0028,47,-18,-11,21.095,-148.57
0.0028,48,-17,-9,19.235,-152.1
