timestamp,subcarrier_index,I,Q,magnitude,phase
0.001,0,-64,1,64.008,179.1
0.001,1,0,27,27.0,90.0
0.001,2,16,26,30.529,58.39
0.001,3,20,22,29.732,47.73
0.001,4,19,26,32.202,53.84
0.001,5,18,23,29.206,51.95
0.001,6,20,26,32.802,52.43
0.001,7,17,25,30.232,55.78
0.001,8,14,25,28.653,60.75
0.001,9,13,28,30.871,65.1
0.001,10,13,25,28.178,62.53
0.001,11,14,24,27.785,59.74
0.001,12,11,24,26.401,65.38
0.001,13,10,27,28.792,69.68
0.001,14,14,21,25.239,56.31
0.001,15,9,22,23.77,67.75
0.001,16,13,26,29.069,63.43
0.001,17,10,23,25.08,66.5
0.001,18,12,23,25.942,62.45
0.001,19,13,19,23.022,55.62
0.001,20,9,18,20.125,63.43
0.001,21,8,16,17.889,63.43
0.001,22,10,19,21.471,62.24
0.001,23,7,14,15.652,63.43
0.001,24,10,11,14.866,47.73
0.001,25,7,9,11.402,52.13
0.001,26,8,0,8.0,0.0
0.001,27,0,0,0.0,0.0
0.001,28,0,0,0.0,0.0
0.001,29,0,0,0.0,0.0
0.001,30,0,0,0.0,0.0
0.001,31,0,0,0.0,0.0
0.001,32,0,0,0.0,0.0
0.001,33,0,0,0.0,0.0
0.001,34,0,0,0.0,0.0
0.001,35,0,0,0.0,0.0
0.001,36,0,0,0.0,0.0
0.001,37,0,3,3.0,90.0
0.001,38,4,5,6.403,51.34
0.001,39,11,5,12.083,24.44
0.001,40,8,6,10.0,36.87
0.001,41,7,3,7.616,23.2
0.001,42,11,5,12.083,24.44
0.001,43,10,7,12.207,34.99
0.001,44,12,10,15.62,39.81
0.001,45,14,9,16.643,32.74
0.001,46,15,11,18.601,36.25
0.001,47,13,10,16.401,37.57
0.001,48,20,13,23.854,33.02
0.001,49,21,8,22.472,20.85
0.001,50,20,8,21.541,21.8
0.001,51,25,2,25.08,4.57
0.001,52,21,8,22.472,20.85
0.001,53,23,7,24.042,16.93
0.001,54,20,7,21.19,19.29
0.001,55,15,10,18.028,33.69
0.001,56,17,11,20.248,32.91
0.001,57,18,11,21.095,31.43
0.001,58,13,15,19.849,49.09
0.001,59,15,19,24.207,51.71
0.001,60,11,23,25.495,64.44
0.001,61,17,21,27.019,51.01
0.001,62,17,24,29.411,54.69
0.0741,0,-64,1,64.008,179.1
0.0741,1,0,-9,9.0,-90.0
0.0741,2,-31,-7,31.78,-167.28
0.0741,3,-26,-1,26.019,-177.8
0.0741,4,-29,0,29.0,180.0
0.0741,5,-27,-5,27.459,-169.51
0.0741,6,-29,-4,29.275,-172.15
0.0741,7,-27,-3,27.166,-173.66
0.0741,8,-30,-4,30.265,-172.41
0.0741,9,-28,-6,28.636,-167.91
0.0741,10,-29,-3,29.155,-174.09
0.0741,11,-25,-8,26.249,-162.26
0.0741,12,-28,-4,28.284,-171.87
0.0741,13,-19,-6,19.925,-162.47
0.0741,14,-17,-5,17.72,-163.61
0.0741,15,-24,-6,24.739,-165.96
0.0741,16,-20,-3,20.224,-171.47
0.0741,17,-19,-3,19.235,-171.03
0.0741,18,-27,-6,27.659,-167.47
0.0741,19,-18,-4,18.439,-167.47
0.0741,20,-19,-2,19.105,-173.99
0.0741,21,-18,-4,18.439,-167.47
0.0741,22,-18,-2,18.111,-173.66
0.0741,23,-19,1,19.026,176.99
0.0741,24,-18,1,18.028,176.82
0.0741,25,-15,-1,15.033,-176.19
0.0741,26,-16,0,16.0,180.0
0.0741,27,0,0,0.0,0.0
0.0741,28,0,0,0.0,0.0
0.0741,29,0,0,0.0,0.0
0.0741,30,0,0,0.0,0.0
0.0741,31,0,0,0.0,0.0
0.0741,32,0,0,0.0,0.0
0.0741,33,0,0,0.0,0.0
0.0741,34,0,0,0.0,0.0
0.0741,35,0,0,0.0,0.0
0.0741,36,0,0,0.0,0.0
0.0741,37,0,-3,3.0,-90.0
0.0741,38,-8,-7,10.63,-138.81
0.0741,39,-9,-2,9.22,-167.47
0.0741,40,-8,1,8.062,172.87
0.0741,41,-13,-1,13.038,-175.6
0.0741,42,-11,1,11.045,174.81
0.0741,43,-10,-3,10.44,-163.3
