timestamp,subcarrier_index,I,Q,magnitude,phase
0.0031,0,-63,26,68.154,157.57
0.0031,1,0,4,4.0,90.0
0.0031,2,42,4,42.19,5.44
0.0031,3,38,3,38.118,4.51
0.0031,4,31,2,31.064,3.69
0.0031,5,26,1,26.019,2.2
0.0031,6,23,-4,23.345,-9.87
0.0031,7,18,-8,19.698,-23.96
0.0031,8,14,-13,19.105,-42.88
0.0031,9,13,-18,22.204,-54.16
0.0031,10,10,-25,26.926,-68.2
0.0031,11,12,-28,30.463,-66.8
0.0031,12,13,-32,34.54,-67.89
0.0031,13,14,-34,36.77,-67.62
0.0031,14,17,-34,38.013,-63.43
0.0031,15,19,-35,39.825,-61.5
0.0031,16,19,-34,38.949,-60.8
0.0031,17,19,-31,36.359,-58.5
0.0031,18,19,-27,33.015,-54.87
0.0031,19,17,-23,28.601,-53.53
0.0031,20,14,-18,22.804,-52.13
0.0031,21,12,-12,16.971,-45.0
0.0031,22,7,-6,9.22,-40.6
0.0031,23,4,-2,4.472,-26.57
0.0031,24,-1,1,1.414,135.0
0.0031,25,-7,8,10.63,131.19
0.0031,26,-12,0,12.0,180.0
0.0031,27,0,0,0.0,0.0
0.0031,28,0,0,0.0,0.0
0.0031,29,0,0,0.0,0.0
0.0031,30,0,0,0.0,0.0
0.0031,31,0,0,0.0,0.0
0.0031,32,0,0,0.0,0.0
0.0031,33,0,0,0.0,0.0
0.0031,34,0,0,0.0,0.0
0.0031,35,0,0,0.0,0.0
0.0031,36,0,0,0.0,0.0
0.0031,37,0,-14,14.0,-90.0
0.0031,38,-24,-10,26.0,-157.38
0.0031,39,-23,-6,23.77,-165.38
0.0031,40,-21,-2,21.095,-174.56
0.0031,41,-20,2,20.1,174.29
0.0031,42,-19,6,19.925,162.47
0.0031,43,-17,9,19.235,152.1
0.0031,44,-15,12,19.209,141.34
0.0031,45,-15,15,21.213,135.0
0.0031,46,-13,15,19.849,130.91
0.0031,47,-12,17,20.809,125.22
0.0031,48,-10,15,18.028,123.69
0.0031,49,-10,12,15.62,129.81
0.0031,50,-9,11,14.213,129.29
0.0031,51,-6,7,9.22,130.6
0.0031,52,-4,2,4.472,153.43
0.0031,53,0,-1,1.0,-90.0
0.0031,54,3,-7,7.616,-66.8
0.0031,55,10,-8,12.806,-38.66
0.0031,56,14,-10,17.205,-35.54
0.0031,57,20,-13,23.854,-33.02
0.0031,58,25,-11,27.313,-23.75
0.0031,59,35,-13,37.336,-20.38
0.0031,60,38,-9,39.051,-13.32
0.0031,61,43,-6,43.417,-7.94
0.0031,62,45,-1,45.011,-1.27
0.7801,0,16,9,18.358,29.36
0.7801,1,0,-35,35.0,-90.0
0.7801,2,25,-30,39.051,-50.19
0.7801,3,25,-24,34.655,-43.83
0.7801,4,20,-22,29.732,-47.73
0.7801,5,18,-19,26.173,-46.55
0.7801,6,13,-18,22.204,-54.16
0.7801,7,8,-18,19.698,-66.04
0.7801,8,2,-20,20.1,-84.29
0.7801,9,-2,-22,22.091,-95.19
0.7801,10,-6,-25,25.71,-103.5
0.7801,11,-11,-27,29.155,-112.17
0.7801,12,-10,-33,34.482,-106.86
0.7801,13,-12,-38,39.85,-107.53
0.7801,14,-12,-38,39.85,-107.53
0.7801,15,-11,-40,41.485,-105.38
0.7801,16,-10,-39,40.262,-104.38
0.7801,17,-9,-37,38.079,-103.67
0.7801,18,-6,-32,32.558,-100.62
0.7801,19,-4,-27,27.295,-98.43
0.7801,20,-3,-21,21.213,-98.13
0.7801,21,-2,-15,15.133,-97.59
0.7801,22,-2,-8,8.246,-104.04
0.7801,23,-2,0,2.0,180.0
0.7801,24,-2,5,5.385,111.8
0.7801,25,-4,12,12.649,108.43
0.7801,26,-5,0,5.0,180.0
0.7801,27,0,0,0.0,0.0
0.7801,28,0,0,0.0,0.0
0.7801,29,0,0,0.0,0.0
0.7801,30,0,0,0.0,0.0
0.7801,31,0,0,0.0,0.0
0.7801,32,0,0,0.0,0.0
0.7801,33,0,0,0.0,0.0
0.7801,34,0,0,0.0,0.0
0.7801,35,0,0,0.0,0.0
0.7801,36,0,0,0.0,0.0
0.7801,37,0,19,19.0,90.0
