pkt0,pkt1,pkt2,pkt3,pkt4,pkt5,pkt6,pkt7,pkt8,pkt9,pkt10,pkt11,pkt12,pkt13,pkt14,pkt15,pkt16,pkt17,pkt18,pkt19,pkt20,pkt21,pkt22,pkt23,pkt24,pkt25,pkt26,pkt27,pkt28,pkt29,pkt30,pkt31,pkt32,pkt33,pkt34,pkt35,pkt36,pkt37,pkt38,pkt39,pkt40,pkt41,pkt42,pkt43,pkt44,pkt45,pkt46,pkt47,pkt48,pkt49,pkt50,pkt51,pkt52,pkt53,pkt54,pkt55,pkt56,pkt57,pkt58,pkt59,label
2,138,166,206,61,25,0,173,36,86,205,168,0,141,1,0,177,203,0,32,10,0,0,0,170,170,3,0,0,0,8,0,69,32,0,80,0,0,64,0,64,6,182,120,192,168,1,190,192,168,1,1,205,171,0,22,63,84,240,192,walking
2,138,166,206,61,25,0,173,36,86,205,168,16,141,1,0,178,203,0,32,10,0,0,0,170,170,3,0,0,0,8,0,69,32,0,80,0,0,64,0,64,6,182,120,192,168,1,190,192,168,1,1,205,171,0,22,63,84,240,192,walking
2,138,166,206,61,25,0,173,36,86,205,168,32,141,1,0,179,203,0,32,10,0,0,0,170,170,3,0,0,0,8,0,69,32,0,80,0,0,64,0,64,6,182,120,192,168,1,190,192,168,1,1,205,171,0,22,63,84,240,192,walking
2,138,166,206,61,25,0,173,36,86,205,168,48,141,1,0,180,203,0,32,10,0,0,0,170,170,3,0,0,0,8,0,69,32,0,80,0,0,64,0,64,6,182,120,192,168,1,190,192,168,1,1,205,171,0,22,63,84,240,192,walking
200,1,136,73,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,64,141,1,0,181,203,0,32,10,0,0,0,170,170,3,0,0,0,8,0,69,32,0,80,0,0,64,0,64,6,182,120,192,168,1,190,walking
243,76,144,188,2,75,243,76,144,188,144,59,110,99,1,211,47,0,0,0,100,0,17,4,0,0,1,8,130,132,139,150,18,36,72,108,3,1,1,5,4,0,1,0,0,7,6,67,78,32,1,13,35,51,10,8,1,2,3,4,walking
2,138,166,206,61,25,0,173,36,86,205,168,80,141,1,0,182,203,0,32,10,0,0,0,170,170,3,0,0,0,8,0,69,32,0,80,0,0,64,0,64,6,182,120,192,168,1,190,192,168,1,1,205,171,0,22,63,84,240,192,walking
2,138,166,206,61,25,0,173,36,86,205,168,96,141,1,0,183,203,0,32,10,0,0,0,170,170,3,0,0,0,8,0,69,32,0,80,0,0,64,0,64,6,182,120,192,168,1,190,192,168,1,1,205,171,0,22,63,84,240,192,walking
2,138,166,206,61,25,0,173,36,86,205,168,112,141,1,0,184,203,0,32,10,0,0,0,170,170,3,0,0,0,8,0,69,32,0,80,0,0,64,0,64,6,182,120,192,168,1,190,192,168,1,1,205,171,0,22,63,84,240,192,walking
2,138,166,206,61,25,0,173,36,86,205,168,128,141,1,0,185,203,0,32,10,0,0,0,170,170,3,0,0,0,8,0,69,32,0,72,0,0,64,0,64,6,182,128,192,168,1,190,192,168,1,1,205,171,0,22,63,84,240,192,walking
