timestamp,subcarrier_index,I,Q,magnitude,phase
0.0021,0,96,9,96.421,5.36
0.0021,1,0,22,22.0,90.0
0.0021,2,6,26,26.683,77.01
0.0021,3,11,28,30.083,68.55
0.0021,4,14,32,34.928,66.37
0.0021,5,17,35,38.91,64.09
0.0021,6,17,36,39.812,64.72
0.0021,7,16,38,41.231,67.17
0.0021,8,15,37,39.925,67.93
0.0021,9,14,37,39.56,69.27
0.0021,10,11,35,36.688,72.55
0.0021,11,10,32,33.526,72.65
0.0021,12,8,27,28.16,73.5
0.0021,13,6,23,23.77,75.38
0.0021,14,4,17,17.464,76.76
0.0021,15,3,12,12.369,75.96
0.0021,16,2,5,5.385,68.2
0.0021,17,1,0,1.0,0.0
0.0021,18,0,-5,5.0,-90.0
0.0021,19,-1,-10,10.05,-95.71
0.0021,20,-1,-13,13.038,-94.4
0.0021,21,-1,-15,15.033,-93.81
0.0021,22,-1,-16,16.031,-93.58
0.0021,23,-2,-17,17.117,-96.71
0.0021,24,-3,-15,15.297,-101.31
0.0021,25,-4,-14,14.56,-105.95
0.0021,26,-5,0,5.0,180.0
0.0021,27,0,0,0.0,0.0
0.0021,28,0,0,0.0,0.0
0.0021,29,0,0,0.0,0.0
0.0021,30,0,0,0.0,0.0
0.0021,31,0,0,0.0,0.0
0.0021,32,0,0,0.0,0.0
0.0021,33,0,0,0.0,0.0
0.0021,34,0,0,0.0,0.0
0.0021,35,0,0,0.0,0.0
0.0021,36,0,0,0.0,0.0
0.0021,37,0,-15,15.0,-90.0
0.0021,38,17,-17,24.042,-45.0
0.0021,39,19,-19,26.87,-45.0
0.0021,40,19,-20,27.586,-46.47
0.0021,41,20,-19,27.586,-43.53
0.0021,42,20,-19,27.586,-43.53
0.0021,43,21,-17,27.019,-38.99
0.0021,44,19,-15,24.207,-38.29
0.0021,45,18,-13,22.204,-35.84
0.0021,46,14,-9,16.643,-32.74
0.0021,47,11,-5,12.083,-24.44
0.0021,48,7,-1,7.071,-8.13
0.0021,49,1,2,2.236,63.43
0.0021,50,-3,5,5.831,120.96
0.0021,51,-8,8,11.314,135.0
0.0021,52,-13,9,15.811,145.3
0.0021,53,-16,11,19.416,145.49
0.0021,54,-20,10,22.361,153.43
0.0021,55,-22,11,24.597,153.43
0.0021,56,-25,10,26.926,158.2
0.0021,57,-25,10,26.926,158.2
0.0021,58,-25,9,26.571,160.2
0.0021,59,-24,9,25.632,159.44
0.0021,60,-20,10,22.361,153.43
0.0021,61,-17,12,20.809,144.78
0.0021,62,-13,13,18.385,135.0
0.9653,0,5,94,94.133,86.96
0.9653,1,0,-25,25.0,-90.0
0.9653,2,6,-30,30.594,-78.69
0.9653,3,6,-35,35.511,-80.27
0.9653,4,5,-39,39.319,-82.69
0.9653,5,6,-42,42.426,-81.87
0.9653,6,6,-43,43.417,-82.06
0.9653,7,7,-45,45.541,-81.16
0.9653,8,9,-44,44.911,-78.44
0.9653,9,11,-43,44.385,-75.65
0.9653,10,11,-39,40.522,-74.25
0.9653,11,11,-36,37.643,-73.01
0.9653,12,11,-31,32.894,-70.46
0.9653,13,10,-26,27.857,-68.96
0.9653,14,9,-20,21.932,-65.77
0.9653,15,7,-14,15.652,-63.43
0.9653,16,4,-9,9.849,-66.04
0.9653,17,2,-2,2.828,-45.0
0.9653,18,-1,3,3.162,108.43
0.9653,19,-3,8,8.544,110.56
0.9653,20,-5,11,12.083,114.44
0.9653,21,-7,13,14.765,118.3
0.9653,22,-8,15,17.0,118.07
0.9653,23,-8,16,17.889,116.57
0.9653,24,-8,15,17.0,118.07
0.9653,25,-6,14,15.232,113.2
0.9653,26,-5,0,5.0,180.0
0.9653,27,0,0,0.0,0.0
0.9653,28,0,0,0.0,0.0
0.9653,29,0,0,0.0,0.0
0.9653,30,0,0,0.0,0.0
0.9653,31,0,0,0.0,0.0
0.9653,32,0,0,0.0,0.0
0.9653,33,0,0,0.0,0.0
0.9653,34,0,0,0.0,0.0
0.9653,35,0,0,0.0,0.0
0.9653,36,0,0,0.0,0.0
0.9653,37,0,-3,3.0,-90.0
0.9653,38,-25,-3,25.179,-173.16
0.9653,39,-28,-2,28.071,-175.91
0.9653,40,-30,-2,30.067,-176.19
0.9653,41,-31,-3,31.145,-174.47
0.9653,42,-32,-3,32.14,-174.64
0.9653,43,-31,-3,31.145,-174.47
0.9653,44,-29,-3,29.155,-174.09
0.9653,45,-26,-3,26.173,-173.42
0.9653,46,-22,-3,22.204,-172.23
0.9653,47,-17,-2,17.117,-173.29
0.9653,48,-10,-2,10.198,-168.69
0.9653,49,-4,-1,4.123,-165.96
0.9653,50,3,-1,3.162,-18.43
0.9653,51,9,2,9.22,12.53
0.9653,52,15,2,15.133,7.59
0.9653,53,19,5,19.647,14.74
0.9653,54,22,6,22.804,15.26
0.9653,55,25,7,25.962,15.64
0.9653,56,26,10,27.857,21.04
0.9653,57,27,9,28.46,18.43
0.9653,58,26,8,27.203,17.1
0.9653,59,24,6,24.739,14.04
0.9653,60,23,3,23.195,7.43
0.9653,61,20,-2,20.1,-5.71
0.9653,62,17,-6,18.028,-19.44
1.0033,0,-64,8,64.498,172.87
1.0033,1,0,-12,12.0,-90.0
1.0033,2,-21,-13,24.698,-148.24
1.0033,3,-25,-14,28.653,-150.75
1.0033,4,-29,-15,32.65,-152.65
1.0033,5,-34,-15,37.162,-156.19
1.0033,6,-35,-18,39.357,-152.78
1.0033,7,-37,-19,41.593,-152.82
1.0033,8,-37,-21,42.544,-150.42
1.0033,9,-36,-20,41.183,-150.95
1.0033,10,-34,-20,39.446,-149.53
1.0033,11,-31,-19,36.359,-148.5
1.0033,12,-28,-18,33.287,-147.26
1.0033,13,-24,-15,28.302,-147.99
1.0033,14,-20,-12,23.324,-149.04
1.0033,15,-14,-8,16.125,-150.26
1.0033,16,-11,-4,11.705,-160.02
1.0033,17,-6,0,6.0,180.0
1.0033,18,0,3,3.0,90.0
1.0033,19,2,6,6.325,71.57
1.0033,20,6,8,10.0,53.13
1.0033,21,8,10,12.806,51.34
1.0033,22,10,10,14.142,45.0
1.0033,23,11,10,14.866,42.27
1.0033,24,11,9,14.213,39.29
1.0033,25,12,7,13.892,30.26
1.0033,26,12,0,12.0,0.0
1.0033,27,0,0,0.0,0.0
1.0033,28,0,0,0.0,0.0
1.0033,29,0,0,0.0,0.0
1.0033,30,0,0,0.0,0.0
1.0033,31,0,0,0.0,0.0
1.0033,32,0,0,0.0,0.0
1.0033,33,0,0,0.0,0.0
1.0033,34,0,0,0.0,0.0
1.0033,35,0,0,0.0,0.0
1.0033,36,0,0,0.0,0.0
1.0033,37,0,21,21.0,90.0
1.0033,38,-4,24,24.331,99.46
1.0033,39,-4,26,26.306,98.75
1.0033,40,-3,27,27.166,96.34
1.0033,41,-3,27,27.166,96.34
1.0033,42,-4,27,27.295,98.43
1.0033,43,-4,25,25.318,99.09
1.0033,44,-4,22,22.361,100.3
1.0033,45,-4,18,18.439,102.53
1.0033,46,-4,14,14.56,105.95
1.0033,47,-3,7,7.616,113.2
1.0033,48,-2,2,2.828,135.0
1.0033,49,-1,-4,4.123,-104.04
1.0033,50,0,-10,10.0,-90.0
1.0033,51,2,-14,14.142,-81.87
1.0033,52,3,-18,18.248,-80.54
1.0033,53,5,-22,22.561,-77.2
1.0033,54,7,-22,23.087,-72.35
1.0033,55,9,-24,25.632,-69.44
1.0033,56,10,-25,26.926,-68.2
1.0033,57,11,-23,25.495,-64.44
1.0033,58,10,-23,25.08,-66.5
1.0033,59,11,-21,23.707,-62.35
1.0033,60,9,-20,21.932,-65.77
1.0033,61,5,-17,17.72,-73.61
1.0033,62,1,-15,15.033,-86.19
1.0483,0,-79,25,82.861,162.44
1.0483,1,0,-26,26.0,-90.0
1.0483,2,3,-30,30.15,-84.29
1.0483,3,1,-35,35.014,-88.36
1.0483,4,-1,-39,39.013,-91.47
1.0483,5,-1,-42,42.012,-91.36
1.0483,6,-2,-45,45.044,-92.54
1.0483,7,-1,-45,45.011,-91.27
1.0483,8,0,-45,45.0,-90.0
1.0483,9,4,-43,43.186,-84.69
1.0483,10,4,-40,40.2,-84.29
1.0483,11,4,-38,38.21,-83.99
1.0483,12,5,-32,32.388,-81.12
1.0483,13,4,-28,28.284,-81.87
1.0483,14,5,-21,21.587,-76.61
1.0483,15,5,-14,14.866,-70.35
1.0483,16,2,-8,8.246,-75.96
1.0483,17,0,-2,2.0,-90.0
1.0483,18,-1,4,4.123,104.04
1.0483,19,-2,9,9.22,102.53
1.0483,20,-4,12,12.649,108.43
1.0483,21,-4,14,14.56,105.95
1.0483,22,-5,16,16.763,107.35
1.0483,23,-5,17,17.72,106.39
1.0483,24,-4,16,16.492,104.04
1.0483,25,-3,15,15.297,101.31
1.0483,26,-1,0,1.0,180.0
1.0483,27,0,0,0.0,0.0
1.0483,28,0,0,0.0,0.0
1.0483,29,0,0,0.0,0.0
1.0483,30,0,0,0.0,0.0
1.0483,31,0,0,0.0,0.0
1.0483,32,0,0,0.0,0.0
1.0483,33,0,0,0.0,0.0
1.0483,34,0,0,0.0,0.0
1.0483,35,0,0,0.0,0.0
1.0483,36,0,0,0.0,0.0
1.0483,37,0,-2,2.0,-90.0
1.0483,38,-25,0,25.0,180.0
1.0483,39,-28,0,28.0,180.0
1.0483,40,-30,0,30.0,180.0
1.0483,41,-31,1,31.016,178.15
1.0483,42,-31,0,31.0,180.0
1.0483,43,-31,0,31.0,180.0
1.0483,44,-29,-1,29.017,-178.03
1.0483,45,-26,0,26.0,180.0
1.0483,46,-21,-1,21.024,-177.27
1.0483,47,-16,-1,16.031,-176.42
1.0483,48,-10,-1,10.05,-174.29
1.0483,49,-4,-2,4.472,-153.43
1.0483,50,3,-1,3.162,-18.43
1.0483,51,9,0,9.0,0.0
1.0483,52,15,0,15.0,0.0
1.0483,53,19,2,19.105,6.01
1.0483,54,23,3,23.195,7.43
1.0483,55,25,5,25.495,11.31
1.0483,56,27,5,27.459,10.49
1.0483,57,27,5,27.459,10.49
1.0483,58,27,5,27.459,10.49
1.0483,59,25,3,25.179,6.84
1.0483,60,22,0,22.0,0.0
1.0483,61,20,-4,20.396,-11.31
1.0483,62,16,-8,17.889,-26.57
1.1423,0,-16,8,17.889,153.43
1.1423,1,0,23,23.0,90.0
1.1423,2,5,27,27.459,79.51
1.1423,3,9,32,33.242,74.29
1.1423,4,12,35,37.0,71.08
1.1423,5,14,38,40.497,69.78
1.1423,6,15,40,42.72,69.44
1.1423,7,15,42,44.598,70.35
1.1423,8,14,42,44.272,71.57
1.1423,9,13,41,43.012,72.41
1.1423,10,11,38,39.56,73.86
1.1423,11,9,35,36.139,75.58
1.1423,12,7,30,30.806,76.87
1.1423,13,5,25,25.495,78.69
1.1423,14,4,20,20.396,78.69
1.1423,15,2,13,13.153,81.25
1.1423,16,2,7,7.28,74.05
1.1423,17,1,0,1.0,0.0
1.1423,18,0,-5,5.0,-90.0
1.1423,19,-1,-10,10.05,-95.71
1.1423,20,-1,-13,13.038,-94.4
1.1423,21,-1,-16,16.031,-93.58
1.1423,22,-2,-17,17.117,-96.71
1.1423,23,-2,-17,17.117,-96.71
1.1423,24,-3,-17,17.263,-100.01
1.1423,25,-4,-15,15.524,-104.93
1.1423,26,-5,0,5.0,180.0
1.1423,27,0,0,0.0,0.0
1.1423,28,0,0,0.0,0.0
1.1423,29,0,0,0.0,0.0
1.1423,30,0,0,0.0,0.0
1.1423,31,0,0,0.0,0.0
1.1423,32,0,0,0.0,0.0
1.1423,33,0,0,0.0,0.0
1.1423,34,0,0,0.0,0.0
1.1423,35,0,0,0.0,0.0
1.1423,36,0,0,0.0,0.0
1.1423,37,0,-9,9.0,-90.0
1.1423,38,23,-11,25.495,-25.56
1.1423,39,24,-13,27.295,-28.44
1.1423,40,27,-13,29.967,-25.71
1.1423,41,27,-13,29.967,-25.71
1.1423,42,28,-12,30.463,-23.2
1.1423,43,27,-12,29.547,-23.96
1.1423,44,25,-11,27.313,-23.75
1.1423,45,22,-9,23.77,-22.25
1.1423,46,19,-6,19.925,-17.53
1.1423,47,14,-3,14.318,-12.09
1.1423,48,8,-1,8.062,-7.13
1.1423,49,3,2,3.606,33.69
1.1423,50,-4,3,5.0,143.13
1.1423,51,-9,5,10.296,150.95
1.1423,52,-15,6,16.155,158.2
1.1423,53,-19,6,19.925,162.47
1.1423,54,-22,6,22.804,164.74
1.1423,55,-26,5,26.476,169.11
1.1423,56,-26,4,26.306,171.25
1.1423,57,-29,4,29.275,172.15
1.1423,58,-28,6,28.636,167.91
1.1423,59,-26,5,26.476,169.11
1.1423,60,-23,5,23.537,167.74
1.1423,61,-20,8,21.541,158.2
1.1423,62,-15,11,18.601,143.75
1.181,0,97,16,98.311,9.37
1.181,1,0,9,9.0,90.0
1.181,2,-22,12,25.06,151.39
1.181,3,-24,16,28.844,146.31
1.181,4,-30,17,34.482,150.46
1.181,5,-32,18,36.715,150.64
1.181,6,-35,18,39.357,152.78
1.181,7,-36,17,39.812,154.72
1.181,8,-37,16,40.311,156.61
1.181,9,-37,14,39.56,159.27
1.181,10,-37,12,38.897,162.03
1.181,11,-35,11,36.688,162.55
1.181,12,-32,8,32.985,165.96
1.181,13,-28,7,28.862,165.96
1.181,14,-23,4,23.345,170.13
1.181,15,-18,2,18.111,173.66
1.181,16,-12,1,12.042,175.24
1.181,17,-6,0,6.0,180.0
1.181,18,-1,-1,1.414,-135.0
1.181,19,4,-1,4.123,-14.04
1.181,20,8,-2,8.246,-14.04
1.181,21,12,-3,12.369,-14.04
1.181,22,14,-3,14.318,-12.09
1.181,23,15,-4,15.524,-14.93
1.181,24,15,-5,15.811,-18.43
1.181,25,14,-6,15.232,-23.2
1.181,26,13,0,13.0,0.0
1.181,27,0,0,0.0,0.0
1.181,28,0,0,0.0,0.0
1.181,29,0,0,0.0,0.0
1.181,30,0,0,0.0,0.0
1.181,31,0,0,0.0,0.0
1.181,32,0,0,0.0,0.0
1.181,33,0,0,0.0,0.0
1.181,34,0,0,0.0,0.0
1.181,35,0,0,0.0,0.0
1.181,36,0,0,0.0,0.0
1.181,37,0,16,16.0,90.0
1.181,38,15,17,22.672,48.58
1.181,39,16,19,24.839,49.9
1.181,40,19,19,26.87,45.0
1.181,41,19,20,27.586,46.47
1.181,42,20,19,27.586,43.53
1.181,43,18,18,25.456,45.0
1.181,44,17,16,23.345,43.26
1.181,45,14,14,19.799,45.0
1.181,46,12,10,15.62,39.81
1.181,47,8,6,10.0,36.87
1.181,48,4,1,4.123,14.04
1.181,49,1,-4,4.123,-75.96
1.181,50,-4,-8,8.944,-116.57
1.181,51,-7,-12,13.892,-120.26
1.181,52,-9,-17,19.235,-117.9
1.181,53,-11,-19,21.954,-120.07
1.181,54,-12,-22,25.06,-118.61
1.181,55,-13,-23,26.42,-119.48
1.181,56,-13,-25,28.178,-117.47
1.181,57,-12,-24,26.833,-116.57
1.181,58,-12,-22,25.06,-118.61
1.181,59,-11,-20,22.825,-118.81
1.181,60,-11,-16,19.416,-124.51
1.181,61,-12,-12,16.971,-135.0
1.181,62,-13,-6,14.318,-155.22
1.2536,0,32,6,32.558,10.62
1.2536,1,0,24,24.0,90.0
1.2536,2,-1,28,28.018,92.05
1.2536,3,3,34,34.132,84.96
1.2536,4,5,37,37.336,82.3
1.2536,5,4,41,41.195,84.43
1.2536,6,6,43,43.417,82.06
1.2536,7,5,44,44.283,83.52
1.2536,8,4,43,43.186,84.69
1.2536,9,3,41,41.11,85.82
1.2536,10,1,40,40.012,88.57
1.2536,11,-1,36,36.014,91.59
1.2536,12,-1,32,32.016,91.79
1.2536,13,-2,26,26.077,94.4
1.2536,14,-2,20,20.1,95.71
1.2536,15,-2,13,13.153,98.75
1.2536,16,-1,7,7.071,98.13
1.2536,17,-1,1,1.414,135.0
1.2536,18,0,-5,5.0,-90.0
1.2536,19,1,-10,10.05,-84.29
1.2536,20,1,-14,14.036,-85.91
1.2536,21,1,-16,16.031,-86.42
1.2536,22,1,-18,18.028,-86.82
1.2536,23,1,-18,18.028,-86.82
1.2536,24,0,-17,17.0,-90.0
1.2536,25,-1,-16,16.031,-93.58
1.2536,26,-2,0,2.0,180.0
1.2536,27,0,0,0.0,0.0
1.2536,28,0,0,0.0,0.0
1.2536,29,0,0,0.0,0.0
1.2536,30,0,0,0.0,0.0
1.2536,31,0,0,0.0,0.0
1.2536,32,0,0,0.0,0.0
1.2536,33,0,0,0.0,0.0
1.2536,34,0,0,0.0,0.0
1.2536,35,0,0,0.0,0.0
1.2536,36,0,0,0.0,0.0
1.2536,37,0,-1,1.0,-90.0
1.2536,38,24,-3,24.187,-7.13
1.2536,39,26,-3,26.173,-6.58
1.2536,40,29,-4,29.275,-7.85
1.2536,41,30,-4,30.265,-7.59
1.2536,42,30,-4,30.265,-7.59
1.2536,43,29,-4,29.275,-7.85
1.2536,44,28,-3,28.16,-6.12
1.2536,45,25,-2,25.08,-4.57
1.2536,46,20,-2,20.1,-5.71
1.2536,47,15,-1,15.033,-3.81
1.2536,48,9,0,9.0,0.0
1.2536,49,3,1,3.162,18.43
1.2536,50,-4,1,4.123,165.96
1.2536,51,-9,1,9.055,173.66
1.2536,52,-15,0,15.0,180.0
1.2536,53,-20,0,20.0,180.0
1.2536,54,-24,0,24.0,180.0
1.2536,55,-27,-3,27.166,-173.66
1.2536,56,-28,-3,28.16,-173.88
1.2536,57,-29,-3,29.155,-174.09
1.2536,58,-28,-2,28.071,-175.91
1.2536,59,-27,-2,27.074,-175.76
1.2536,60,-23,1,23.022,177.51
1.2536,61,-21,4,21.378,169.22
1.2536,62,-17,9,19.235,152.1
1.2957,0,-63,26,68.154,157.57
1.2957,1,0,14,14.0,90.0
1.2957,2,-19,20,27.586,133.53
1.2957,3,-22,24,32.558,132.51
1.2957,4,-24,27,36.125,131.63
1.2957,5,-26,29,38.949,131.88
