timestamp,subcarrier_index,I,Q,magnitude,phase
1.0191,0,37,95,101.951,68.72
1.0191,1,0,27,27.0,90.0
1.0191,2,0,25,25.0,90.0
1.0191,3,0,23,23.0,90.0
1.0191,4,-1,20,20.025,92.86
1.0191,5,-1,17,17.029,93.37
1.0191,6,-1,14,14.036,94.09
1.0191,7,1,12,12.042,85.24
1.0191,8,2,9,9.22,77.47
1.0191,9,5,7,8.602,54.46
1.0191,10,8,6,10.0,36.87
1.0191,11,11,5,12.083,24.44
1.0191,12,13,5,13.928,21.04
1.0191,13,16,5,16.763,17.35
1.0191,14,17,6,18.028,19.44
1.0191,15,19,6,19.925,17.53
1.0191,16,19,7,20.248,20.22
1.0191,17,18,7,19.313,21.25
1.0191,18,16,6,17.088,20.56
1.0191,19,13,6,14.318,24.78
1.0191,20,10,5,11.18,26.57
1.0191,21,7,4,8.062,29.74
1.0191,22,3,2,3.606,33.69
1.0191,23,0,1,1.0,90.0
1.0191,24,-3,-2,3.606,-146.31
1.0191,25,-6,-3,6.708,-153.43
1.0191,26,-8,0,8.0,180.0
1.0191,27,0,0,0.0,0.0
1.0191,28,0,0,0.0,0.0
1.0191,29,0,0,0.0,0.0
1.0191,30,0,0,0.0,0.0
1.0191,31,0,0,0.0,0.0
1.0191,32,0,0,0.0,0.0
1.0191,33,0,0,0.0,0.0
1.0191,34,0,0,0.0,0.0
1.0191,35,0,0,0.0,0.0
1.0191,36,0,0,0.0,0.0
1.0191,37,0,-10,10.0,-90.0
1.0191,38,9,-9,12.728,-45.0
1.0191,39,6,-9,10.817,-56.31
1.0191,40,3,-8,8.544,-69.44
1.0191,41,0,-7,7.0,-90.0
1.0191,42,-4,-7,8.062,-119.74
1.0191,43,-7,-7,9.899,-135.0
1.0191,44,-11,-7,13.038,-147.53
1.0191,45,-15,-7,16.553,-154.98
1.0191,46,-18,-8,19.698,-156.04
1.0191,47,-20,-8,21.541,-158.2
1.0191,48,-20,-8,21.541,-158.2
1.0191,49,-20,-9,21.932,-155.77
1.0191,50,-19,-8,20.616,-157.17
1.0191,51,-17,-8,18.788,-154.8
1.0191,52,-15,-7,16.553,-154.98
1.0191,53,-11,-5,12.083,-155.56
1.0191,54,-7,-3,7.616,-156.8
1.0191,55,-4,1,4.123,165.96
1.0191,56,0,4,4.0,90.0
1.0191,57,3,8,8.544,69.44
1.0191,58,4,13,13.601,72.9
1.0191,59,7,17,18.385,67.62
1.0191,60,7,21,22.136,71.57
1.0191,61,7,23,24.042,73.07
1.0191,62,6,26,26.683,77.01
1.2962,0,96,8,96.333,4.76
1.2962,1,0,-3,3.0,-90.0
1.2962,2,49,-1,49.01,-1.17
1.2962,3,46,1,46.011,1.25
1.2962,4,40,2,40.05,2.86
1.2962,5,36,0,36.0,0.0
1.2962,6,30,-4,30.265,-7.59
1.2962,7,25,-6,25.71,-13.5
1.2962,8,20,-11,22.825,-28.81
1.2962,9,16,-15,21.932,-43.15
1.2962,10,13,-20,23.854,-56.98
1.2962,11,12,-26,28.636,-65.22
1.2962,12,11,-30,31.953,-69.86
1.2962,13,11,-33,34.785,-71.57
1.2962,14,11,-33,34.785,-71.57
1.2962,15,11,-34,35.735,-72.07
1.2962,16,11,-33,34.785,-71.57
1.2962,17,12,-30,32.311,-68.2
1.2962,18,12,-24,26.833,-63.43
1.2962,19,12,-19,22.472,-57.72
1.2962,20,11,-13,17.029,-49.76
1.2962,21,9,-8,12.042,-41.63
1.2962,22,7,-1,7.071,-8.13
1.2962,23,4,4,5.657,45.0
1.2962,24,2,9,9.22,77.47
1.2962,25,-2,14,14.142,98.13
1.2962,26,-4,0,4.0,180.0
1.2962,27,0,0,0.0,0.0
1.2962,28,0,0,0.0,0.0
1.2962,29,0,0,0.0,0.0
1.2962,30,0,0,0.0,0.0
1.2962,31,0,0,0.0,0.0
1.2962,32,0,0,0.0,0.0
1.2962,33,0,0,0.0,0.0
1.2962,34,0,0,0.0,0.0
1.2962,35,0,0,0.0,0.0
1.2962,36,0,0,0.0,0.0
1.2962,37,0,-17,17.0,-90.0
1.2962,38,-18,-11,21.095,-148.57
1.2962,39,-17,-7,18.385,-157.62
1.2962,40,-15,-1,15.033,-176.19
1.2962,41,-14,6,15.232,156.8
1.2962,42,-13,12,17.692,137.29
1.2962,43,-11,18,21.095,121.43
1.2962,44,-12,25,27.731,115.64
1.2962,45,-13,30,32.696,113.43
1.2962,46,-12,33,35.114,109.98
1.2962,47,-13,35,37.336,110.38
1.2962,48,-14,35,37.696,111.8
1.2962,49,-15,34,37.162,113.81
1.2962,50,-15,30,33.541,116.57
1.2962,51,-14,24,27.785,120.26
1.2962,52,-14,17,22.023,129.47
1.2962,53,-12,11,16.279,137.49
1.2962,54,-9,5,10.296,150.95
1.2962,55,-3,0,3.0,180.0
1.2962,56,1,-6,6.083,-80.54
1.2962,57,8,-10,12.806,-51.34
1.2962,58,15,-12,19.209,-38.66
1.2962,59,23,-14,26.926,-31.33
1.2962,60,31,-15,34.438,-25.82
1.2962,61,39,-11,40.522,-15.75
1.2962,62,44,-11,45.354,-14.04
1.3349,0,48,12,49.477,14.04
1.3349,1,0,-18,18.0,-90.0
1.3349,2,45,-17,48.104,-20.7
1.3349,3,43,-13,44.922,-16.82
1.3349,4,39,-12,40.804,-17.1
1.3349,5,34,-11,35.735,-17.93
1.3349,6,29,-13,31.78,-24.15
1.3349,7,22,-13,25.554,-30.58
1.3349,8,16,-16,22.627,-45.0
1.3349,9,11,-20,22.825,-61.19
1.3349,10,6,-23,23.77,-75.38
1.3349,11,3,-28,28.16,-83.88
1.3349,12,0,-31,31.0,-90.0
1.3349,13,-1,-34,34.015,-91.68
1.3349,14,-3,-34,34.132,-95.04
1.3349,15,-3,-35,35.128,-94.9
1.3349,16,-2,-35,35.057,-93.27
1.3349,17,-2,-32,32.062,-93.58
1.3349,18,0,-27,27.0,-90.0
1.3349,19,1,-22,22.023,-87.4
1.3349,20,2,-16,16.125,-82.87
1.3349,21,3,-10,10.44,-73.3
1.3349,22,3,-3,4.243,-45.0
1.3349,23,3,3,4.243,45.0
1.3349,24,3,9,9.487,71.57
1.3349,25,3,14,14.318,77.91
1.3349,26,2,0,2.0,0.0
1.3349,27,0,0,0.0,0.0
1.3349,28,0,0,0.0,0.0
1.3349,29,0,0,0.0,0.0
1.3349,30,0,0,0.0,0.0
1.3349,31,0,0,0.0,0.0
1.3349,32,0,0,0.0,0.0
1.3349,33,0,0,0.0,0.0
1.3349,34,0,0,0.0,0.0
1.3349,35,0,0,0.0,0.0
1.3349,36,0,0,0.0,0.0
1.3349,37,0,-12,12.0,-90.0
1.3349,38,-21,-7,22.136,-161.57
1.3349,39,-19,-3,19.235,-171.03
1.3349,40,-16,2,16.125,172.87
1.3349,41,-13,8,15.264,148.39
1.3349,42,-10,14,17.205,125.54
1.3349,43,-8,20,21.541,111.8
1.3349,44,-6,26,26.683,102.99
1.3349,45,-4,31,31.257,97.35
1.3349,46,-4,34,34.234,96.71
1.3349,47,-3,37,37.121,94.64
1.3349,48,-3,37,37.121,94.64
1.3349,49,-4,36,36.222,96.34
1.3349,50,-5,32,32.388,98.88
1.3349,51,-5,27,27.459,100.49
1.3349,52,-5,19,19.647,104.74
1.3349,53,-6,13,14.318,114.78
1.3349,54,-5,6,7.81,129.81
1.3349,55,-2,-2,2.828,-135.0
1.3349,56,1,-8,8.062,-82.87
1.3349,57,6,-14,15.232,-66.8
1.3349,58,11,-20,22.825,-61.19
1.3349,59,18,-24,30.0,-53.13
1.3349,60,25,-25,35.355,-45.0
1.3349,61,31,-26,40.46,-39.99
1.3349,62,37,-26,45.222,-35.1
1.4263,0,16,7,17.464,23.63
1.4263,1,0,27,27.0,90.0
1.4263,2,-14,25,28.653,119.25
1.4263,3,-14,22,26.077,122.47
1.4263,4,-14,20,24.413,124.99
1.4263,5,-13,16,20.616,129.09
1.4263,6,-10,15,18.028,123.69
1.4263,7,-6,13,14.318,114.78
1.4263,8,-3,12,12.369,104.04
1.4263,9,-1,11,11.045,95.19
1.4263,10,3,12,12.369,75.96
1.4263,11,7,12,13.892,59.74
1.4263,12,10,13,16.401,52.43
1.4263,13,12,14,18.439,49.4
1.4263,14,15,15,21.213,45.0
1.4263,15,15,16,21.932,46.85
1.4263,16,15,16,21.932,46.85
1.4263,17,14,15,20.518,46.97
1.4263,18,12,14,18.439,49.4
1.4263,19,9,11,14.213,50.71
1.4263,20,6,9,10.817,56.31
1.4263,21,4,6,7.211,56.31
1.4263,22,1,3,3.162,71.57
1.4263,23,-1,-1,1.414,-135.0
1.4263,24,-3,-4,5.0,-126.87
1.4263,25,-6,-6,8.485,-135.0
1.4263,26,-7,0,7.0,180.0
1.4263,27,0,0,0.0,0.0
1.4263,28,0,0,0.0,0.0
1.4263,29,0,0,0.0,0.0
1.4263,30,0,0,0.0,0.0
1.4263,31,0,0,0.0,0.0
1.4263,32,0,0,0.0,0.0
1.4263,33,0,0,0.0,0.0
1.4263,34,0,0,0.0,0.0
1.4263,35,0,0,0.0,0.0
1.4263,36,0,0,0.0,0.0
1.4263,37,0,-5,5.0,-90.0
1.4263,38,14,-6,15.232,-23.2
1.4263,39,11,-7,13.038,-32.47
1.4263,40,7,-8,10.63,-48.81
1.4263,41,3,-9,9.487,-71.57
1.4263,42,0,-11,11.0,-90.0
1.4263,43,-4,-12,12.649,-108.43
1.4263,44,-7,-15,16.553,-115.02
1.4263,45,-11,-16,19.416,-124.51
1.4263,46,-13,-18,22.204,-125.84
1.4263,47,-15,-18,23.431,-129.81
1.4263,48,-16,-19,24.839,-130.1
1.4263,49,-16,-18,24.083,-131.63
1.4263,50,-15,-17,22.672,-131.42
1.4263,51,-13,-15,19.849,-130.91
1.4263,52,-10,-12,15.62,-129.81
1.4263,53,-7,-8,10.63,-131.19
1.4263,54,-5,-4,6.403,-141.34
1.4263,55,-2,1,2.236,153.43
1.4263,56,-1,6,6.083,99.46
1.4263,57,0,11,11.0,90.0
1.4263,58,0,16,16.0,90.0
1.4263,59,-1,21,21.024,92.73
1.4263,60,-2,25,25.08,94.57
1.4263,61,-4,28,28.284,98.13
1.4263,62,-7,29,29.833,103.57
1.4485,0,-32,1,32.016,178.21
1.4485,1,0,-47,47.0,-90.0
1.4485,2,-1,-44,44.011,-91.3
1.4485,3,-1,-40,40.012,-91.43
1.4485,4,1,-29,29.017,-88.03
1.4485,5,2,-24,24.083,-85.24
1.4485,6,1,-17,17.029,-86.63
1.4485,7,-2,-9,9.22,-102.53
1.4485,8,-5,-2,5.385,-158.2
1.4485,9,-8,5,9.434,147.99
1.4485,10,-11,11,15.556,135.0
1.4485,11,-16,12,20.0,143.13
1.4485,12,-17,15,22.672,138.58
1.4485,13,-20,17,26.249,139.64
1.4485,14,-21,16,26.401,142.7
1.4485,15,-22,15,26.627,145.71
1.4485,16,-21,17,27.019,141.01
1.4485,17,-22,14,26.077,147.53
1.4485,18,-17,11,20.248,147.09
1.4485,19,-14,10,17.205,144.46
1.4485,20,-11,8,13.601,143.97
1.4485,21,-7,6,9.22,139.4
1.4485,22,-4,5,6.403,128.66
1.4485,23,-1,4,4.123,104.04
1.4485,24,2,2,2.828,45.0
1.4485,25,4,2,4.472,26.57
1.4485,26,5,0,5.0,0.0
1.4485,27,0,0,0.0,0.0
1.4485,28,0,0,0.0,0.0
1.4485,29,0,0,0.0,0.0
1.4485,30,0,0,0.0,0.0
1.4485,31,0,0,0.0,0.0
1.4485,32,0,0,0.0,0.0
1.4485,33,0,0,0.0,0.0
1.4485,34,0,0,0.0,0.0
1.4485,35,0,0,0.0,0.0
1.4485,36,0,0,0.0,0.0
1.4485,37,0,5,5.0,90.0
1.4485,38,-5,3,5.831,149.04
1.4485,39,-4,2,4.472,153.43
1.4485,40,-3,1,3.162,161.57
1.4485,41,0,0,0.0,0.0
1.4485,42,4,0,4.0,0.0
1.4485,43,6,1,6.083,9.46
1.4485,44,10,2,10.198,11.31
1.4485,45,14,5,14.866,19.65
1.4485,46,18,7,19.313,21.25
1.4485,47,22,10,24.166,24.44
1.4485,48,29,13,31.78,24.15
1.4485,49,32,14,34.928,23.63
1.4485,50,31,14,34.015,24.3
1.4485,51,27,14,30.414,27.41
1.4485,52,24,17,29.411,35.31
1.4485,53,26,12,28.636,24.78
1.4485,54,18,9,20.125,26.57
1.4485,55,14,5,14.866,19.65
1.4485,56,11,-2,11.18,-10.3
1.4485,57,8,-9,12.042,-48.37
1.4485,58,1,-15,15.033,-86.19
1.4485,59,-1,-22,22.023,-92.6
