timestamp,subcarrier_index,I,Q,magnitude,phase
1.004,0,-13,53,54.571,103.78
1.004,1,0,11,11.0,90.0
1.004,2,-19,15,24.207,141.71
1.004,3,-22,18,28.425,140.71
1.004,4,-25,21,32.65,139.97
1.004,5,-28,22,35.609,141.84
1.004,6,-31,22,38.013,144.64
1.004,7,-33,22,39.661,146.31
1.004,8,-35,20,40.311,150.26
1.004,9,-35,19,39.825,151.5
1.004,10,-35,16,38.484,155.43
1.004,11,-33,14,35.847,157.01
1.004,12,-31,12,33.242,158.84
1.004,13,-27,9,28.46,161.57
1.004,14,-23,8,24.352,160.82
1.004,15,-19,6,19.925,162.47
1.004,16,-13,4,13.601,162.9
1.004,17,-7,2,7.28,164.05
1.004,18,-2,1,2.236,153.43
1.004,19,3,0,3.0,0.0
1.004,20,7,-1,7.071,-8.13
1.004,21,10,-2,10.198,-11.31
1.004,22,12,-3,12.369,-14.04
1.004,23,13,-3,13.342,-12.99
1.004,24,13,-4,13.601,-17.1
1.004,25,12,-4,12.649,-18.43
1.004,26,11,0,11.0,0.0
1.004,27,0,0,0.0,0.0
1.004,28,0,0,0.0,0.0
1.004,29,0,0,0.0,0.0
1.004,30,0,0,0.0,0.0
1.004,31,0,0,0.0,0.0
1.004,32,0,0,0.0,0.0
1.004,33,0,0,0.0,0.0
1.004,34,0,0,0.0,0.0
1.004,35,0,0,0.0,0.0
1.004,36,0,0,0.0,0.0
1.004,37,0,19,19.0,90.0
1.004,38,13,20,23.854,56.98
1.004,39,15,21,25.807,54.46
1.004,40,17,22,27.803,52.31
1.004,41,18,23,29.206,51.95
1.004,42,18,22,28.425,50.71
1.004,43,17,20,26.249,49.64
1.004,44,16,19,24.839,49.9
1.004,45,14,15,20.518,46.97
1.004,46,11,11,15.556,45.0
1.004,47,9,7,11.402,37.87
1.004,48,5,2,5.385,21.8
1.004,49,1,-3,3.162,-71.57
1.004,50,-2,-8,8.246,-104.04
1.004,51,-5,-13,13.928,-111.04
1.004,52,-7,-17,18.385,-112.38
1.004,53,-8,-20,21.541,-111.8
1.004,54,-10,-22,24.166,-114.44
1.004,55,-9,-23,24.698,-111.37
1.004,56,-10,-24,26.0,-112.62
1.004,57,-9,-23,24.698,-111.37
1.004,58,-8,-23,24.352,-109.18
1.004,59,-8,-19,20.616,-112.83
1.004,60,-9,-15,17.493,-120.96
1.004,61,-9,-10,13.454,-131.99
1.004,62,-9,-4,9.849,-156.04
1.2556,0,32,6,32.558,10.62
1.2556,1,0,25,25.0,90.0
1.2556,2,-1,29,29.017,91.97
1.2556,3,0,34,34.0,90.0
1.2556,4,2,39,39.051,87.06
1.2556,5,1,42,42.012,88.64
1.2556,6,1,44,44.011,88.7
1.2556,7,-1,46,46.011,91.25
1.2556,8,-2,45,45.044,92.54
1.2556,9,-4,44,44.181,95.19
1.2556,10,-5,41,41.304,96.95
1.2556,11,-6,38,38.471,98.97
1.2556,12,-5,32,32.388,98.88
1.2556,13,-5,27,27.459,100.49
1.2556,14,-5,21,21.587,103.39
1.2556,15,-5,15,15.811,108.43
1.2556,16,-3,9,9.487,108.43
1.2556,17,-1,3,3.162,108.43
1.2556,18,2,-1,2.236,-26.57
1.2556,19,3,-6,6.708,-63.43
1.2556,20,5,-10,11.18,-63.43
1.2556,21,6,-13,14.318,-65.22
1.2556,22,6,-14,15.232,-66.8
1.2556,23,7,-14,15.652,-63.43
1.2556,24,6,-14,15.232,-66.8
1.2556,25,5,-13,13.928,-68.96
1.2556,26,3,0,3.0,0.0
1.2556,27,0,0,0.0,0.0
1.2556,28,0,0,0.0,0.0
1.2556,29,0,0,0.0,0.0
1.2556,30,0,0,0.0,0.0
1.2556,31,0,0,0.0,0.0
1.2556,32,0,0,0.0,0.0
1.2556,33,0,0,0.0,0.0
1.2556,34,0,0,0.0,0.0
1.2556,35,0,0,0.0,0.0
1.2556,36,0,0,0.0,0.0
1.2556,37,0,-3,3.0,-90.0
1.2556,38,26,-4,26.306,-8.75
1.2556,39,29,-5,29.428,-9.78
1.2556,40,31,-5,31.401,-9.16
1.2556,41,32,-5,32.388,-8.88
1.2556,42,33,-5,33.377,-8.62
1.2556,43,32,-5,32.388,-8.88
1.2556,44,29,-4,29.275,-7.85
1.2556,45,27,-4,27.295,-8.43
1.2556,46,21,-2,21.095,-5.44
1.2556,47,17,-2,17.117,-6.71
1.2556,48,10,-1,10.05,-5.71
1.2556,49,3,0,3.0,0.0
1.2556,50,-3,-1,3.162,-161.57
1.2556,51,-10,-1,10.05,-174.29
1.2556,52,-16,-2,16.125,-172.87
1.2556,53,-21,-3,21.213,-171.87
1.2556,54,-23,-5,23.537,-167.74
1.2556,55,-26,-5,26.476,-169.11
1.2556,56,-27,-7,27.893,-165.47
1.2556,57,-27,-7,27.893,-165.47
1.2556,58,-27,-6,27.659,-167.47
1.2556,59,-27,-5,27.459,-169.51
1.2556,60,-22,-2,22.091,-174.81
1.2556,61,-20,3,20.224,171.47
1.2556,62,-14,8,16.125,150.26
1.3008,0,32,6,32.558,10.62
1.3008,1,0,-11,11.0,-90.0
1.3008,2,-23,-11,25.495,-154.44
1.3008,3,-27,-12,29.547,-156.04
1.3008,4,-32,-13,34.54,-157.89
1.3008,5,-35,-14,37.696,-158.2
1.3008,6,-37,-17,40.719,-155.32
1.3008,7,-39,-17,42.544,-156.45
1.3008,8,-40,-19,44.283,-154.59
1.3008,9,-38,-19,42.485,-153.43
1.3008,10,-36,-20,41.183,-150.95
1.3008,11,-33,-18,37.59,-151.39
1.3008,12,-31,-17,35.355,-151.26
1.3008,13,-26,-15,30.017,-150.02
1.3008,14,-21,-12,24.187,-150.26
1.3008,15,-17,-7,18.385,-157.62
1.3008,16,-12,-4,12.649,-161.57
1.3008,17,-8,0,8.0,180.0
1.3008,18,-3,4,5.0,126.87
1.3008,19,0,6,6.0,90.0
1.3008,20,3,8,8.544,69.44
1.3008,21,6,9,10.817,56.31
1.3008,22,7,10,12.207,55.01
1.3008,23,9,9,12.728,45.0
1.3008,24,9,8,12.042,41.63
1.3008,25,9,7,11.402,37.87
1.3008,26,9,0,9.0,0.0
1.3008,27,0,0,0.0,0.0
1.3008,28,0,0,0.0,0.0
1.3008,29,0,0,0.0,0.0
1.3008,30,0,0,0.0,0.0
1.3008,31,0,0,0.0,0.0
1.3008,32,0,0,0.0,0.0
1.3008,33,0,0,0.0,0.0
1.3008,34,0,0,0.0,0.0
1.3008,35,0,0,0.0,0.0
1.3008,36,0,0,0.0,0.0
1.3008,37,0,24,24.0,90.0
1.3008,38,-6,26,26.683,102.99
1.3008,39,-5,29,29.428,99.78
1.3008,40,-5,29,29.428,99.78
1.3008,41,-5,30,30.414,99.46
1.3008,42,-5,29,29.428,99.78
1.3008,43,-5,27,27.459,100.49
1.3008,44,-5,24,24.515,101.77
1.3008,45,-5,20,20.616,104.04
1.3008,46,-4,15,15.524,104.93
1.3008,47,-3,8,8.544,110.56
1.3008,48,-2,2,2.828,135.0
1.3008,49,0,-4,4.0,-90.0
1.3008,50,1,-9,9.055,-83.66
1.3008,51,3,-14,14.318,-77.91
1.3008,52,4,-18,18.439,-77.47
1.3008,53,6,-21,21.84,-74.05
1.3008,54,9,-22,23.77,-67.75
1.3008,55,11,-22,24.597,-63.43
1.3008,56,12,-22,25.06,-61.39
1.3008,57,13,-22,25.554,-59.42
1.3008,58,12,-20,23.324,-59.04
1.3008,59,12,-20,23.324,-59.04
1.3008,60,9,-17,19.235,-62.1
1.3008,61,5,-15,15.811,-71.57
1.3008,62,1,-13,13.038,-85.6
1.3739,0,-62,32,69.771,152.7
1.3739,1,0,23,23.0,90.0
1.3739,2,4,28,28.284,81.87
1.3739,3,9,34,35.171,75.17
1.3739,4,10,38,39.294,75.26
1.3739,5,12,41,42.72,73.69
1.3739,6,12,42,43.681,74.05
1.3739,7,11,44,45.354,75.96
1.3739,8,10,44,45.122,77.2
1.3739,9,8,44,44.721,79.7
1.3739,10,6,41,41.437,81.67
1.3739,11,5,38,38.328,82.5
1.3739,12,3,33,33.136,84.81
1.3739,13,2,27,27.074,85.76
1.3739,14,2,22,22.091,84.81
1.3739,15,1,15,15.033,86.19
1.3739,16,1,9,9.055,83.66
1.3739,17,2,3,3.606,56.31
1.3739,18,2,-4,4.472,-63.43
1.3739,19,4,-7,8.062,-60.26
1.3739,20,3,-12,12.369,-75.96
1.3739,21,4,-14,14.56,-74.05
1.3739,22,3,-16,16.279,-79.38
1.3739,23,4,-16,16.492,-75.96
1.3739,24,3,-15,15.297,-78.69
1.3739,25,2,-14,14.142,-81.87
1.3739,26,1,0,1.0,0.0
1.3739,27,0,0,0.0,0.0
1.3739,28,0,0,0.0,0.0
1.3739,29,0,0,0.0,0.0
1.3739,30,0,0,0.0,0.0
1.3739,31,0,0,0.0,0.0
1.3739,32,0,0,0.0,0.0
1.3739,33,0,0,0.0,0.0
1.3739,34,0,0,0.0,0.0
1.3739,35,0,0,0.0,0.0
1.3739,36,0,0,0.0,0.0
1.3739,37,0,-11,11.0,-90.0
1.3739,38,25,-13,28.178,-27.47
1.3739,39,27,-15,30.887,-29.05
1.3739,40,29,-15,32.65,-27.35
1.3739,41,29,-15,32.65,-27.35
1.3739,42,31,-13,33.615,-22.75
1.3739,43,30,-13,32.696,-23.43
1.3739,44,28,-11,30.083,-21.45
1.3739,45,25,-9,26.571,-19.8
1.3739,46,21,-7,22.136,-18.43
1.3739,47,16,-5,16.763,-17.35
1.3739,48,9,-2,9.22,-12.53
1.3739,49,3,0,3.0,0.0
1.3739,50,-3,1,3.162,161.57
1.3739,51,-9,2,9.22,167.47
1.3739,52,-15,3,15.297,168.69
1.3739,53,-20,2,20.1,174.29
1.3739,54,-23,2,23.087,175.03
1.3739,55,-27,1,27.019,177.88
1.3739,56,-28,0,28.0,180.0
1.3739,57,-29,-1,29.017,-178.03
1.3739,58,-27,-1,27.019,-177.88
1.3739,59,-26,2,26.077,175.6
1.3739,60,-22,3,22.204,172.23
1.3739,61,-18,5,18.682,164.48
1.3739,62,-14,9,16.643,147.26
1.4143,0,97,26,100.424,15.0
1.4143,1,0,21,21.0,90.0
1.4143,2,7,25,25.962,74.36
1.4143,3,11,30,31.953,69.86
1.4143,4,13,32,34.54,67.89
1.4143,5,14,36,38.626,68.75
1.4143,6,16,38,41.231,67.17
1.4143,7,16,39,42.154,67.69
1.4143,8,15,40,42.72,69.44
1.4143,9,12,39,40.804,72.9
1.4143,10,11,37,38.601,73.44
1.4143,11,8,34,34.928,76.76
1.4143,12,7,29,29.833,76.43
1.4143,13,5,24,24.515,78.23
1.4143,14,4,19,19.416,78.11
1.4143,15,3,13,13.342,77.01
1.4143,16,3,6,6.708,63.43
1.4143,17,3,1,3.162,18.43
1.4143,18,3,-4,5.0,-53.13
1.4143,19,2,-9,9.22,-77.47
1.4143,20,2,-12,12.166,-80.54
1.4143,21,2,-14,14.142,-81.87
1.4143,22,2,-15,15.133,-82.41
1.4143,23,2,-15,15.133,-82.41
1.4143,24,1,-15,15.033,-86.19
1.4143,25,-1,-13,13.038,-94.4
1.4143,26,-2,0,2.0,180.0
1.4143,27,0,0,0.0,0.0
1.4143,28,0,0,0.0,0.0
1.4143,29,0,0,0.0,0.0
1.4143,30,0,0,0.0,0.0
1.4143,31,0,0,0.0,0.0
1.4143,32,0,0,0.0,0.0
1.4143,33,0,0,0.0,0.0
1.4143,34,0,0,0.0,0.0
1.4143,35,0,0,0.0,0.0
1.4143,36,0,0,0.0,0.0
1.4143,37,0,-14,14.0,-90.0
1.4143,38,21,-17,27.019,-38.99
1.4143,39,22,-18,28.425,-39.29
1.4143,40,23,-18,29.206,-38.05
1.4143,41,24,-19,30.61,-38.37
1.4143,42,24,-17,29.411,-35.31
1.4143,43,24,-16,28.844,-33.69
1.4143,44,23,-13,26.42,-29.48
1.4143,45,20,-12,23.324,-30.96
1.4143,46,17,-9,19.235,-27.9
1.4143,47,13,-6,14.318,-24.78
1.4143,48,7,-3,7.616,-23.2
1.4143,49,1,0,1.0,0.0
1.4143,50,-4,3,5.0,143.13
1.4143,51,-9,5,10.296,150.95
1.4143,52,-14,5,14.866,160.35
1.4143,53,-18,6,18.974,161.57
1.4143,54,-21,6,21.84,164.05
1.4143,55,-25,4,25.318,170.91
1.4143,56,-26,5,26.476,169.11
1.4143,57,-26,4,26.306,171.25
1.4143,58,-27,5,27.459,169.51
1.4143,59,-24,3,24.187,172.87
1.4143,60,-21,6,21.84,164.05
1.4143,61,-16,7,17.464,156.37
1.4143,62,-13,11,17.029,139.76
1.4863,0,-32,9,33.242,164.29
1.4863,1,0,-7,7.0,-90.0
1.4863,2,11,-9,14.213,-39.29
1.4863,3,13,-12,17.692,-42.71
1.4863,4,16,-13,20.616,-39.09
1.4863,5,18,-14,22.804,-37.87
1.4863,6,20,-14,24.413,-34.99
1.4863,7,21,-13,24.698,-31.76
1.4863,8,22,-13,25.554,-30.58
1.4863,9,22,-11,24.597,-26.57
1.4863,10,22,-10,24.166,-24.44
1.4863,11,21,-9,22.847,-23.2
1.4863,12,19,-8,20.616,-22.83
1.4863,13,17,-7,18.385,-22.38
1.4863,14,14,-6,15.232,-23.2
1.4863,15,11,-5,12.083,-24.44
1.4863,16,8,-3,8.544,-20.56
1.4863,17,4,-3,5.0,-36.87
1.4863,18,0,-2,2.0,-90.0
1.4863,19,-3,-1,3.162,-161.57
1.4863,20,-5,-1,5.099,-168.69
1.4863,21,-7,0,7.0,180.0
1.4863,22,-9,0,9.0,180.0
1.4863,23,-10,0,10.0,180.0
1.4863,24,-10,1,10.05,174.29
1.4863,25,-9,1,9.055,173.66
1.4863,26,-8,0,8.0,180.0
