timestamp,subcarrier_index,I,Q,magnitude,phase
0.0035,0,-32,8,32.985,165.96
0.0035,1,0,10,10.0,90.0
0.0035,2,-16,16,22.627,135.0
0.0035,3,-19,21,28.32,132.14
0.0035,4,-22,24,32.558,132.51
0.0035,5,-23,26,34.713,131.5
0.0035,6,-25,27,36.797,132.8
0.0035,7,-28,27,38.897,136.04
0.0035,8,-30,26,39.699,139.09
0.0035,9,-31,25,39.825,141.12
0.0035,10,-31,22,38.013,144.64
0.0035,11,-30,20,36.056,146.31
0.0035,12,-28,17,32.757,148.74
0.0035,13,-25,14,28.653,150.75
0.0035,14,-21,11,23.707,152.35
0.0035,15,-16,8,17.889,153.43
0.0035,16,-11,5,12.083,155.56
0.0035,17,-6,2,6.325,161.57
0.0035,18,-1,-1,1.414,-135.0
0.0035,19,4,-3,5.0,-36.87
0.0035,20,7,-6,9.22,-40.6
0.0035,21,10,-7,12.207,-34.99
0.0035,22,13,-8,15.264,-31.61
0.0035,23,13,-9,15.811,-34.7
0.0035,24,13,-9,15.811,-34.7
0.0035,25,12,-10,15.62,-39.81
0.0035,26,11,0,11.0,0.0
0.0035,27,0,0,0.0,0.0
0.0035,28,0,0,0.0,0.0
0.0035,29,0,0,0.0,0.0
0.0035,30,0,0,0.0,0.0
0.0035,31,0,0,0.0,0.0
0.0035,32,0,0,0.0,0.0
0.0035,33,0,0,0.0,0.0
0.0035,34,0,0,0.0,0.0
0.0035,35,0,0,0.0,0.0
0.0035,36,0,0,0.0,0.0
0.0035,37,0,17,17.0,90.0
0.0035,38,14,18,22.804,52.13
0.0035,39,16,19,24.839,49.9
0.0035,40,18,20,26.907,48.01
0.0035,41,18,21,27.659,49.4
0.0035,42,19,20,27.586,46.47
0.0035,43,18,19,26.173,46.55
0.0035,44,16,17,23.345,46.74
0.0035,45,15,15,21.213,45.0
0.0035,46,12,11,16.279,42.51
0.0035,47,9,7,11.402,37.87
0.0035,48,4,3,5.0,36.87
0.0035,49,1,-2,2.236,-63.43
0.0035,50,-3,-7,7.616,-113.2
0.0035,51,-7,-11,13.038,-122.47
0.0035,52,-9,-16,18.358,-119.36
0.0035,53,-11,-18,21.095,-121.43
0.0035,54,-12,-22,25.06,-118.61
0.0035,55,-14,-22,26.077,-122.47
0.0035,56,-13,-26,29.069,-116.57
0.0035,57,-12,-23,25.942,-117.55
0.0035,58,-12,-24,26.833,-116.57
0.0035,59,-11,-21,23.707,-117.65
0.0035,60,-10,-16,18.868,-122.01
0.0035,61,-9,-13,15.811,-124.7
0.0035,62,-11,-6,12.53,-151.39
0.0521,0,65,26,70.007,21.8
0.0521,1,0,-9,9.0,-90.0
0.0521,2,-8,-9,12.042,-131.63
0.0521,3,-11,-10,14.866,-137.73
0.0521,4,-13,-10,16.401,-142.43
0.0521,5,-15,-12,19.209,-141.34
0.0521,6,-16,-13,20.616,-140.91
0.0521,7,-18,-13,22.204,-144.16
0.0521,8,-18,-14,22.804,-142.13
0.0521,9,-17,-14,22.023,-140.53
0.0521,10,-17,-14,22.023,-140.53
0.0521,11,-16,-13,20.616,-140.91
0.0521,12,-14,-12,18.439,-139.4
0.0521,13,-12,-10,15.62,-140.19
0.0521,14,-10,-8,12.806,-141.34
0.0521,15,-8,-5,9.434,-147.99
0.0521,16,-6,-3,6.708,-153.43
0.0521,17,-4,0,4.0,180.0
0.0521,18,-2,2,2.828,135.0
0.0521,19,0,4,4.0,90.0
0.0521,20,1,4,4.123,75.96
0.0521,21,3,5,5.831,59.04
0.0521,22,4,6,7.211,56.31
