timestamp,subcarrier_index,I,Q,magnitude,phase
0.0,0,-47,24,52.773,152.95
0.0,1,0,23,23.0,90.0
0.0,2,7,28,28.862,75.96
0.0,3,12,33,35.114,70.02
0.0,4,13,37,39.217,70.64
0.0,5,14,41,43.324,71.15
0.0,6,14,43,45.222,71.97
0.0,7,14,44,46.174,72.35
0.0,8,12,44,45.607,74.74
0.0,9,11,43,44.385,75.65
0.0,10,9,41,41.976,77.62
0.0,11,7,37,37.656,79.29
0.0,12,6,33,33.541,79.7
0.0,13,4,28,28.284,81.87
0.0,14,3,22,22.204,82.23
0.0,15,3,14,14.318,77.91
0.0,16,3,8,8.544,69.44
0.0,17,2,1,2.236,26.57
0.0,18,3,-5,5.831,-59.04
0.0,19,3,-10,10.44,-73.3
0.0,20,3,-15,15.297,-78.69
0.0,21,3,-17,17.263,-79.99
0.0,22,3,-19,19.235,-81.03
0.0,23,3,-19,19.235,-81.03
0.0,24,2,-19,19.105,-83.99
0.0,25,0,-18,18.0,-90.0
0.0,26,-2,0,2.0,180.0
0.0,27,0,0,0.0,0.0
0.0,28,0,0,0.0,0.0
0.0,29,0,0,0.0,0.0
0.0,30,0,0,0.0,0.0
0.0,31,0,0,0.0,0.0
0.0,32,0,0,0.0,0.0
0.0,33,0,0,0.0,0.0
0.0,34,0,0,0.0,0.0
0.0,35,0,0,0.0,0.0
0.0,36,0,0,0.0,0.0
0.0,37,0,-6,6.0,-90.0
0.0,38,26,-8,27.203,-17.1
0.0,39,29,-10,30.676,-19.03
0.0,40,30,-11,31.953,-20.14
0.0,41,32,-11,33.838,-18.97
0.0,42,32,-11,33.838,-18.97
0.0,43,31,-10,32.573,-17.88
0.0,44,28,-9,29.411,-17.82
0.0,45,25,-8,26.249,-17.74
0.0,46,20,-5,20.616,-14.04
0.0,47,14,-3,14.318,-12.09
0.0,48,8,-1,8.062,-7.13
0.0,49,1,1,1.414,45.0
0.0,50,-5,2,5.385,158.2
0.0,51,-10,3,10.44,163.3
0.0,52,-18,4,18.439,167.47
0.0,53,-23,4,23.345,170.13
0.0,54,-25,4,25.318,170.91
0.0,55,-27,3,27.166,173.66
0.0,56,-29,1,29.017,178.03
0.0,57,-29,1,29.017,178.03
0.0,58,-27,0,27.0,180.0
0.0,59,-24,3,24.187,172.87
0.0,60,-20,3,20.224,171.47
0.0,61,-18,6,18.974,161.57
0.0,62,-11,10,14.866,137.73
0.0394,0,-64,7,64.382,173.76
