timestamp,subcarrier_index,I,Q,magnitude,phase
0.002,0,113,20,114.756,10.04
0.002,1,0,25,25.0,90.0
0.002,2,-24,19,30.61,141.63
0.002,3,-22,22,31.113,135.0
0.002,4,-22,15,26.627,145.71
0.002,5,-25,18,30.806,144.25
0.002,6,-22,14,26.077,147.53
0.002,7,-16,8,17.889,153.43
0.002,8,-16,13,20.616,140.91
0.002,9,-9,12,15.0,126.87
0.002,10,-7,10,12.207,124.99
0.002,11,-6,21,21.84,105.95
0.002,12,1,29,29.017,88.03
0.002,13,3,25,25.179,83.16
0.002,14,5,36,36.346,82.09
0.002,15,10,32,33.526,72.65
0.002,16,7,29,29.833,76.43
0.002,17,6,28,28.636,77.91
0.002,18,9,24,25.632,69.44
0.002,19,7,26,26.926,74.93
0.002,20,1,17,17.029,86.63
0.002,21,3,17,17.263,79.99
0.002,22,7,16,17.464,66.37
0.002,23,5,3,5.831,30.96
0.002,24,14,-1,14.036,-4.09
0.002,25,11,-7,13.038,-32.47
0.002,26,11,0,11.0,0.0
0.002,27,0,0,0.0,0.0
0.002,28,0,0,0.0,0.0
0.002,29,0,0,0.0,0.0
0.002,30,0,0,0.0,0.0
0.002,31,0,0,0.0,0.0
0.002,32,0,0,0.0,0.0
0.002,33,0,0,0.0,0.0
0.002,34,0,0,0.0,0.0
0.002,35,0,0,0.0,0.0
0.002,36,0,0,0.0,0.0
0.002,37,0,-12,12.0,-90.0
0.002,38,1,-10,10.05,-84.29
0.002,39,4,-10,10.77,-68.2
0.002,40,1,-10,10.05,-84.29
0.002,41,-2,-6,6.325,-108.43
0.002,42,-2,1,2.236,153.43
0.002,43,-6,5,7.81,140.19
0.002,44,-14,4,14.56,164.05
0.002,45,-15,5,15.811,161.57
0.002,46,-23,9,24.698,158.63
0.002,47,-21,15,25.807,144.46
0.002,48,-26,15,30.017,150.02
0.002,49,-27,8,28.16,163.5
0.002,50,-23,10,25.08,156.5
0.002,51,-21,-1,21.024,-177.27
0.002,52,-24,13,27.295,151.56
0.002,53,-21,3,21.213,171.87
0.002,54,-21,5,21.587,166.61
0.002,55,-7,9,11.402,127.87
0.002,56,-5,-1,5.099,-168.69
0.002,57,0,15,15.0,90.0
0.002,58,2,15,15.133,82.41
0.002,59,1,19,19.026,86.99
0.002,60,-8,12,14.422,123.69
0.002,61,4,17,17.464,76.76
0.002,62,1,20,20.025,87.14
0.1016,0,113,20,114.756,10.04
0.1016,1,0,4,4.0,90.0
0.1016,2,-11,4,11.705,160.02
0.1016,3,-11,3,11.402,164.74
0.1016,4,-13,-1,13.038,-175.6
0.1016,5,-19,4,19.416,168.11
0.1016,6,-22,1,22.023,177.4
0.1016,7,-21,-3,21.213,-171.87
0.1016,8,-25,0,25.0,180.0
0.1016,9,-27,-5,27.459,-169.51
0.1016,10,-28,-6,28.636,-167.91
0.1016,11,-20,-9,21.932,-155.77
0.1016,12,-25,-6,25.71,-166.5
0.1016,13,-21,-6,21.84,-164.05
0.1016,14,-22,-8,23.409,-160.02
0.1016,15,-16,-3,16.279,-169.38
0.1016,16,-14,3,14.318,167.91
0.1016,17,-7,7,9.899,135.0
0.1016,18,-5,9,10.296,119.05
0.1016,19,-7,6,9.22,139.4
0.1016,20,-7,18,19.313,111.25
0.1016,21,-3,20,20.224,98.53
0.1016,22,-7,22,23.087,107.65
0.1016,23,-9,25,26.571,109.8
0.1016,24,-1,22,22.023,92.6
0.1016,25,-3,21,21.213,98.13
