pkt0,pkt1,pkt2,pkt3,pkt4,pkt5,pkt6,pkt7,pkt8,pkt9,pkt10,pkt11,pkt12,pkt13,pkt14,pkt15,pkt16,pkt17,pkt18,pkt19,pkt20,pkt21,pkt22,pkt23,pkt24,pkt25,pkt26,pkt27,pkt28,pkt29,pkt30,pkt31,pkt32,pkt33,pkt34,pkt35,pkt36,pkt37,pkt38,pkt39,pkt40,pkt41,pkt42,pkt43,pkt44,pkt45,pkt46,pkt47,pkt48,pkt49,pkt50,pkt51,pkt52,pkt53,pkt54,pkt55,pkt56,pkt57,pkt58,pkt59,label
243,124,144,188,0,75,243,124,144,188,192,238,135,52,47,139,51,0,0,0,100,0,17,20,0,0,1,8,130,132,139,150,18,36,72,108,3,1,1,5,4,0,1,0,0,7,6,67,78,32,1,13,35,32,1,0,35,2,63,0,falling
14,9,255,199,188,98,14,9,255,199,64,234,213,185,77,99,3,0,0,0,100,0,49,20,0,1,0,1,8,130,132,11,22,12,18,24,36,3,1,1,5,4,0,1,0,0,7,6,72,75,32,1,13,36,42,1,0,50,4,48,falling
243,76,144,188,2,75,243,76,144,188,224,238,195,119,47,139,51,0,0,0,100,0,17,4,0,0,1,8,130,132,139,150,18,36,72,108,3,1,1,5,4,0,1,0,0,7,6,67,78,32,1,13,35,51,10,8,1,2,3,4,falling
7,79,112,101,110,87,114,116,1,8,140,18,152,36,176,72,96,108,3,1,1,5,4,0,2,0,0,42,1,0,48,20,1,0,0,15,172,4,1,0,0,15,172,4,1,0,0,15,172,2,12,0,11,5,1,0,95,0,0,59,falling
14,9,255,192,16,164,218,116,121,51,48,9,0,0,149,0,0,32,0,0,0,0,76,234,153,214,188,9,119,143,8,35,47,239,182,74,84,15,90,139,99,143,244,75,121,138,40,160,7,227,170,103,240,49,67,213,179,119,120,166,falling
14,9,255,192,16,164,218,116,121,51,64,9,0,0,150,0,0,32,0,0,0,0,66,74,91,8,186,52,70,51,238,26,21,14,138,195,168,61,168,208,131,23,23,136,238,250,219,210,35,168,114,211,123,226,122,150,242,64,57,157,falling
14,9,255,192,16,164,218,116,121,52,80,9,0,0,151,0,0,32,0,0,0,0,2,76,192,121,238,159,165,189,91,160,28,15,26,247,104,239,203,39,224,123,190,38,226,110,95,42,185,26,52,180,194,6,33,67,121,159,180,149,falling
14,9,255,192,188,98,14,9,255,192,0,93,28,68,79,99,3,0,0,0,100,0,49,20,0,5,83,116,97,102,102,1,8,130,132,11,22,12,18,24,36,3,1,1,5,4,0,1,0,1,7,6,72,75,32,1,13,36,42,1,falling
14,9,255,192,16,164,218,116,121,51,96,9,0,0,152,0,0,32,0,0,0,0,182,181,128,26,110,54,76,78,4,189,241,200,79,117,131,183,68,198,37,27,53,252,107,172,179,140,45,9,161,252,239,12,78,20,34,129,67,28,falling
14,9,255,192,16,164,218,116,121,51,96,9,0,0,152,0,0,32,0,0,0,0,182,181,128,26,110,54,76,78,4,189,241,200,79,117,131,183,68,198,37,27,53,252,107,172,179,140,45,9,161,252,239,12,78,20,34,129,67,28,falling
14,9,255,192,16,164,218,116,121,51,112,9,0,0,153,0,0,32,0,0,0,0,227,193,93,222,234,27,93,208,137,252,207,249,69,147,136,92,252,138,120,218,137,222,198,235,84,255,86,221,136,218,20,233,152,184,200,68,150,170,falling
14,9,255,192,16,164,218,116,121,51,112,9,0,0,153,0,0,32,0,0,0,0,227,193,93,222,234,27,93,208,137,252,207,249,69,147,136,92,252,138,120,218,137,222,198,235,84,255,86,221,136,218,20,233,152,184,200,68,150,170,falling
14,9,255,192,16,164,218,116,121,51,112,9,0,0,153,0,0,32,0,0,0,0,227,193,93,222,234,27,93,208,137,252,207,249,69,147,136,92,252,138,120,218,137,222,198,235,84,255,86,221,136,218,20,233,152,184,200,68,150,170,falling
14,9,255,192,16,164,218,116,121,52,128,9,0,0,154,0,0,32,0,0,0,0,6,174,78,55,185,25,66,255,90,255,205,108,196,245,213,122,117,248,74,185,132,63,230,209,217,151,140,178,154,192,236,130,135,222,254,61,190,50,falling
14,9,255,192,16,164,218,116,121,51,144,9,0,0,155,0,0,32,0,0,0,0,176,80,127,148,219,1,144,30,39,87,131,237,238,45,102,5,43,191,216,58,199,127,2,247,106,249,62,149,113,139,193,124,168,33,128,81,232,67,falling
243,124,144,188,0,75,243,124,144,188,240,238,168,194,48,139,51,0,0,0,100,0,17,20,0,0,1,8,130,132,139,150,18,36,72,108,3,1,1,5,4,0,1,0,0,7,6,67,78,32,1,13,35,32,1,0,35,2,63,0,falling
14,9,255,192,16,164,218,116,121,52,208,9,0,0,159,0,0,32,0,0,0,0,191,181,203,114,208,192,48,73,165,164,114,169,127,135,235,231,127,91,115,213,239,164,155,105,180,82,175,5,83,193,104,9,149,214,234,180,156,189,falling
14,9,255,192,16,164,218,116,121,51,224,9,0,0,160,0,0,32,0,0,0,0,28,166,124,8,81,100,38,214,240,113,40,138,158,61,213,52,5,120,187,163,239,200,207,154,65,4,158,64,40,142,154,30,146,152,192,21,116,10,falling
243,76,144,188,2,75,243,76,144,188,0,239,106,194,48,139,51,0,0,0,100,0,17,4,0,0,1,8,130,132,139,150,18,36,72,108,3,1,1,5,4,0,1,0,0,7,6,67,78,32,1,13,35,51,10,8,1,2,3,4,falling
2,138,166,206,61,25,0,173,36,86,205,168,144,85,1,0,221,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,72,0,52,0,0,64,0,64,6,182,108,192,168,1,190,192,168,1,1,212,248,0,22,11,62,92,19,falling
198,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,160,85,1,0,222,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,74,0,68,0,0,64,0,64,6,182,90,192,168,1,190,falling
2,138,166,206,61,25,0,173,36,86,205,168,240,240,0,0,223,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,0,0,68,253,229,0,0,64,17,248,179,192,168,1,190,192,168,1,1,158,179,0,53,0,48,101,33,falling
197,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,0,241,0,0,224,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,0,0,68,181,117,0,0,64,17,65,36,192,168,1,190,falling
14,9,255,192,16,164,218,116,121,52,240,9,0,0,161,0,0,32,0,0,0,0,178,225,211,197,165,47,203,109,100,11,73,57,125,75,48,213,136,117,158,4,167,89,90,202,157,179,244,185,85,40,171,76,132,194,193,115,166,175,falling
2,138,166,206,61,25,0,173,36,86,205,168,16,241,0,0,226,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,0,0,68,101,128,0,0,64,17,145,25,192,168,1,190,192,168,1,1,71,142,0,53,0,48,156,49,falling
197,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,32,241,0,0,227,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,0,0,68,213,217,0,0,64,17,32,192,192,168,1,190,falling
197,1,136,73,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,176,85,1,0,225,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,74,0,96,0,0,64,0,64,6,182,62,192,168,1,190,falling
14,9,255,192,16,164,218,116,121,51,16,10,0,0,163,0,0,32,0,0,0,0,152,239,222,227,131,53,108,167,138,180,199,50,246,121,251,138,8,45,61,60,138,86,9,203,232,136,212,14,35,62,182,124,114,242,250,213,229,2,falling
14,9,255,192,16,164,218,116,121,52,32,10,0,0,164,0,0,32,0,0,0,0,71,67,34,252,128,156,34,207,40,164,180,87,241,244,24,68,78,170,82,9,227,17,17,22,204,85,39,84,201,93,65,180,46,37,147,9,159,101,falling
2,138,166,206,61,25,0,173,36,86,205,168,48,241,0,0,229,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,0,0,56,19,83,0,0,64,1,227,98,192,168,1,190,192,168,1,1,3,3,21,99,0,0,0,0,falling
2,138,166,206,61,25,0,173,36,86,205,168,64,241,0,0,230,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,0,0,68,254,167,0,0,64,17,247,241,192,168,1,190,192,168,1,1,135,94,0,53,0,48,255,70,falling
197,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,80,241,0,0,232,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,0,0,68,186,51,0,0,64,17,60,102,192,168,1,190,falling
2,138,166,206,61,25,0,173,36,86,205,168,192,85,1,0,228,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,72,0,52,0,0,64,0,64,6,182,108,192,168,1,190,192,168,1,1,212,248,0,22,11,62,92,79,falling
196,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,208,85,1,0,231,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,74,0,112,0,0,64,0,64,6,182,46,192,168,1,190,falling
7,79,112,101,110,87,114,116,1,8,140,18,152,36,176,72,96,108,3,1,1,5,4,1,2,0,0,42,1,0,48,20,1,0,0,15,172,4,1,0,0,15,172,4,1,0,0,15,172,2,12,0,11,5,1,0,95,0,0,59,falling
2,138,166,206,61,25,0,173,36,86,205,168,96,241,0,0,233,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,0,0,68,92,236,0,0,64,17,153,173,192,168,1,190,192,168,1,1,9,138,0,53,0,48,110,99,falling
197,1,136,73,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,112,241,0,0,235,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,0,0,68,124,203,0,0,64,17,121,206,192,168,1,190,falling
2,138,166,206,61,25,0,173,36,86,205,168,224,85,1,0,234,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,72,0,52,0,0,64,0,64,6,182,108,192,168,1,190,192,168,1,1,212,248,0,22,11,62,92,139,falling
198,1,136,73,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,240,85,1,0,236,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,74,2,168,0,0,64,0,64,6,179,246,192,168,1,190,falling
199,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,128,241,0,0,237,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,0,0,56,43,116,0,0,64,1,203,65,192,168,1,190,falling
2,138,166,206,61,25,0,173,36,86,205,168,0,86,1,0,238,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,72,0,52,0,0,64,0,64,6,182,108,192,168,1,190,192,168,1,1,212,248,0,22,11,62,94,255,falling
199,1,136,73,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,16,86,1,0,239,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,74,0,192,0,0,64,0,64,6,181,222,192,168,1,190,falling
199,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,32,86,1,0,240,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,72,0,52,0,0,64,0,64,6,182,108,192,168,1,190,falling
243,124,144,188,0,75,243,124,144,188,48,239,118,91,50,139,51,0,0,0,100,0,17,20,0,0,1,8,130,132,139,150,18,36,72,108,3,1,1,5,4,0,1,0,0,7,6,67,78,32,1,13,35,32,1,0,35,2,63,0,falling
14,9,255,192,16,164,218,116,121,52,112,10,0,0,169,0,0,32,0,0,0,0,198,246,132,83,195,235,35,65,57,49,119,64,44,93,109,206,124,145,177,203,96,141,209,58,107,190,109,141,216,167,7,123,123,24,116,96,10,33,falling
199,1,136,73,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,48,86,1,0,241,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,74,0,136,0,0,64,0,64,6,182,22,192,168,1,190,falling
14,9,255,192,16,164,218,116,121,52,112,10,0,0,169,0,0,32,0,0,0,0,198,246,132,83,195,235,35,65,57,49,119,64,44,93,109,206,124,145,177,203,96,141,209,58,107,190,109,141,216,167,7,123,123,24,116,96,10,33,falling
14,9,255,192,16,164,218,116,121,52,128,10,0,0,170,0,0,32,0,0,0,0,243,2,20,150,200,173,208,92,171,134,117,72,49,138,54,97,29,139,246,63,47,80,221,212,175,40,89,122,167,239,119,113,180,199,118,30,18,118,falling
14,9,255,192,16,164,218,116,121,52,128,10,0,0,170,0,0,32,0,0,0,0,243,2,20,150,200,173,208,92,171,134,117,72,49,138,54,97,29,139,246,63,47,80,221,212,175,40,89,122,167,239,119,113,180,199,118,30,18,118,falling
199,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,64,86,1,0,242,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,72,0,52,0,0,64,0,64,6,182,108,192,168,1,190,falling
199,1,136,73,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,80,86,1,0,243,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,74,0,104,0,0,64,0,64,6,182,54,192,168,1,190,falling
14,9,255,192,16,164,218,116,121,52,128,10,0,0,170,0,0,32,0,0,0,0,243,2,20,150,200,173,208,92,171,134,117,72,49,138,54,97,29,139,246,63,47,80,221,212,175,40,89,122,167,239,119,113,180,199,118,30,18,118,falling
14,9,255,192,16,164,218,116,121,52,144,10,0,0,171,0,0,32,0,0,0,0,173,217,76,197,240,132,29,210,208,147,19,221,29,10,120,81,116,230,208,69,128,253,15,21,109,122,162,216,5,205,22,117,208,183,119,106,168,60,falling
2,138,166,206,61,25,0,173,36,86,205,168,96,86,1,0,244,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,72,0,52,0,0,64,0,64,6,182,108,192,168,1,190,192,168,1,1,212,248,0,22,11,62,96,19,falling
2,138,166,206,61,25,0,173,36,86,205,168,112,86,1,0,245,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,34,0,188,0,0,64,0,64,6,182,10,192,168,1,190,192,168,1,1,212,248,0,22,11,62,96,19,falling
198,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,128,86,1,0,246,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,34,0,88,0,0,64,0,64,6,182,110,192,168,1,190,falling
14,9,255,192,16,164,218,116,121,52,176,10,0,0,173,0,0,32,0,0,0,0,70,220,119,109,133,50,39,39,191,210,123,227,152,143,255,14,174,59,11,237,254,133,64,173,9,176,116,11,217,93,223,49,23,63,169,235,191,13,falling
199,1,136,65,48,0,0,173,36,86,205,168,2,138,166,206,61,25,0,173,36,86,205,168,144,86,1,0,247,104,0,32,60,0,0,0,170,170,3,0,0,0,8,0,69,32,0,52,0,0,64,0,64,6,182,148,192,168,1,190,falling
7,79,112,101,110,87,114,116,1,8,140,18,152,36,176,72,96,108,3,1,1,5,4,0,2,0,0,42,1,0,48,20,1,0,0,15,172,4,1,0,0,15,172,4,1,0,0,15,172,2,12,0,11,5,1,0,95,0,0,59,falling
98,60,246,150,103,27,0,0,94,0,1,8,208,16,0,0,15,1,0,32,0,0,0,0,94,115,73,239,206,83,41,162,249,146,126,83,122,222,211,235,175,93,59,108,13,112,34,167,86,83,157,4,157,165,100,253,86,217,57,250,falling
